pokemon_stat_delta_key,pokemon_key,pokemon_id,hp_delta,attack_delta,defense_delta,sp_attack_delta,sp_defense_delta,speed_delta,stat_total_delta,canonical_dataset_version,champions_dataset_version,source_name,source_url,extracted_at_utc,dataset_version
altaria-delta,altaria,334,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
milotic-delta,milotic,350,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
castform-delta,castform,351,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
banette-delta,banette,354,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
chimecho-delta,chimecho,358,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
absol-delta,absol,359,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
glalie-delta,glalie,362,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
metagross-delta,metagross,376,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
torterra-delta,torterra,389,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
infernape-delta,infernape,392,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
empoleon-delta,empoleon,395,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
staraptor-delta,staraptor,398,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
luxray-delta,luxray,405,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
roserade-delta,roserade,407,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
rampardos-delta,rampardos,409,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
bastiodon-delta,bastiodon,411,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
lopunny-delta,lopunny,428,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
spiritomb-delta,spiritomb,442,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
garchomp-delta,garchomp,445,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
lucario-delta,lucario,448,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
hippowdon-delta,hippowdon,450,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
toxicroak-delta,toxicroak,454,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
abomasnow-delta,abomasnow,460,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
weavile-delta,weavile,461,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
rhyperior-delta,rhyperior,464,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
leafeon-delta,leafeon,470,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
glaceon-delta,glaceon,471,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gliscor-delta,gliscor,472,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
mamoswine-delta,mamoswine,473,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gallade-delta,gallade,475,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
froslass-delta,froslass,478,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
rotom-delta,rotom,479,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
serperior-delta,serperior,497,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
emboar-delta,emboar,500,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
samurott-delta,samurott,503,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
watchog-delta,watchog,505,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
liepard-delta,liepard,510,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
simisage-delta,simisage,512,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
simisear-delta,simisear,514,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
simipour-delta,simipour,516,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
musharna-delta,musharna,518,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
excadrill-delta,excadrill,530,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
audino-delta,audino,531,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
conkeldurr-delta,conkeldurr,534,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
scolipede-delta,scolipede,545,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
whimsicott-delta,whimsicott,547,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
krookodile-delta,krookodile,553,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
scrafty-delta,scrafty,560,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
cofagrigus-delta,cofagrigus,563,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
garbodor-delta,garbodor,569,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
zoroark-delta,zoroark,571,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
reuniclus-delta,reuniclus,579,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
vanilluxe-delta,vanilluxe,584,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
emolga-delta,emolga,587,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
eelektross-delta,eelektross,604,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
chandelure-delta,chandelure,609,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
beartic-delta,beartic,614,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
stunfisk-delta,stunfisk,618,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
golurk-delta,golurk,623,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
hydreigon-delta,hydreigon,635,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
volcarona-delta,volcarona,637,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
chesnaught-delta,chesnaught,652,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
delphox-delta,delphox,655,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
greninja-delta,greninja,658,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
diggersby-delta,diggersby,660,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
talonflame-delta,talonflame,663,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
vivillon-delta,vivillon,666,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
pyroar-male-delta,pyroar-male,668,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
florges-delta,florges,671,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
pangoro-delta,pangoro,675,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
