pokemon_key,pokemon_id,pokemon_name,form_name,type_1,type_2,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
arbok,24,arbok,arbok,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/arbok,24,2026-08-03 08:26:36.523413+00,0.2.0
pikachu,25,pikachu,pikachu,electric,,PokéAPI,https://pokeapi.co/api/v2/pokemon/pikachu,25,2026-08-03 08:26:36.523413+00,0.2.0
raichu,26,raichu,raichu,electric,,PokéAPI,https://pokeapi.co/api/v2/pokemon/raichu,26,2026-08-03 08:26:36.523413+00,0.2.0
sandshrew,27,sandshrew,sandshrew,ground,,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandshrew,27,2026-08-03 08:26:36.523413+00,0.2.0
sandslash,28,sandslash,sandslash,ground,,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandslash,28,2026-08-03 08:26:36.523413+00,0.2.0
nidoran-f,29,nidoran-f,nidoran-f,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-f,29,2026-08-03 08:26:36.523413+00,0.2.0
nidorina,30,nidorina,nidorina,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidorina,30,2026-08-03 08:26:36.523413+00,0.2.0
nidoqueen,31,nidoqueen,nidoqueen,poison,ground,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoqueen,31,2026-08-03 08:26:36.523413+00,0.2.0
nidoran-m,32,nidoran-m,nidoran-m,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-m,32,2026-08-03 08:26:36.523413+00,0.2.0
nidorino,33,nidorino,nidorino,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidorino,33,2026-08-03 08:26:36.523413+00,0.2.0
nidoking,34,nidoking,nidoking,poison,ground,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoking,34,2026-08-03 08:26:36.523413+00,0.2.0
clefairy,35,clefairy,clefairy,fairy,,PokéAPI,https://pokeapi.co/api/v2/pokemon/clefairy,35,2026-08-03 08:26:36.523413+00,0.2.0
clefable,36,clefable,clefable,fairy,,PokéAPI,https://pokeapi.co/api/v2/pokemon/clefable,36,2026-08-03 08:26:36.523413+00,0.2.0
vulpix,37,vulpix,vulpix,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/vulpix,37,2026-08-03 08:26:36.523413+00,0.2.0
ninetales,38,ninetales,ninetales,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/ninetales,38,2026-08-03 08:26:36.523413+00,0.2.0
jigglypuff,39,jigglypuff,jigglypuff,normal,fairy,PokéAPI,https://pokeapi.co/api/v2/pokemon/jigglypuff,39,2026-08-03 08:26:36.523413+00,0.2.0
wigglytuff,40,wigglytuff,wigglytuff,normal,fairy,PokéAPI,https://pokeapi.co/api/v2/pokemon/wigglytuff,40,2026-08-03 08:26:36.523413+00,0.2.0
zubat,41,zubat,zubat,poison,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/zubat,41,2026-08-03 08:26:36.523413+00,0.2.0
golbat,42,golbat,golbat,poison,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/golbat,42,2026-08-03 08:26:36.523413+00,0.2.0
oddish,43,oddish,oddish,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/oddish,43,2026-08-03 08:26:36.523413+00,0.2.0
gloom,44,gloom,gloom,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/gloom,44,2026-08-03 08:26:36.523413+00,0.2.0
vileplume,45,vileplume,vileplume,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/vileplume,45,2026-08-03 08:26:36.523413+00,0.2.0
paras,46,paras,paras,bug,grass,PokéAPI,https://pokeapi.co/api/v2/pokemon/paras,46,2026-08-03 08:26:36.523413+00,0.2.0
parasect,47,parasect,parasect,bug,grass,PokéAPI,https://pokeapi.co/api/v2/pokemon/parasect,47,2026-08-03 08:26:36.523413+00,0.2.0
venonat,48,venonat,venonat,bug,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/venonat,48,2026-08-03 08:26:36.523413+00,0.2.0
venomoth,49,venomoth,venomoth,bug,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/venomoth,49,2026-08-03 08:26:36.523413+00,0.2.0
diglett,50,diglett,diglett,ground,,PokéAPI,https://pokeapi.co/api/v2/pokemon/diglett,50,2026-08-03 08:26:36.523413+00,0.2.0
dugtrio,51,dugtrio,dugtrio,ground,,PokéAPI,https://pokeapi.co/api/v2/pokemon/dugtrio,51,2026-08-03 08:26:36.523413+00,0.2.0
meowth,52,meowth,meowth,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/meowth,52,2026-08-03 08:26:36.523413+00,0.2.0
persian,53,persian,persian,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/persian,53,2026-08-03 08:26:36.523413+00,0.2.0
psyduck,54,psyduck,psyduck,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/psyduck,54,2026-08-03 08:26:36.523413+00,0.2.0
golduck,55,golduck,golduck,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/golduck,55,2026-08-03 08:26:36.523413+00,0.2.0
mankey,56,mankey,mankey,fighting,,PokéAPI,https://pokeapi.co/api/v2/pokemon/mankey,56,2026-08-03 08:26:36.523413+00,0.2.0
primeape,57,primeape,primeape,fighting,,PokéAPI,https://pokeapi.co/api/v2/pokemon/primeape,57,2026-08-03 08:26:36.523413+00,0.2.0
growlithe,58,growlithe,growlithe,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/growlithe,58,2026-08-03 08:26:36.523413+00,0.2.0
arcanine,59,arcanine,arcanine,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/arcanine,59,2026-08-03 08:26:36.523413+00,0.2.0
poliwag,60,poliwag,poliwag,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwag,60,2026-08-03 08:26:36.523413+00,0.2.0
poliwhirl,61,poliwhirl,poliwhirl,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwhirl,61,2026-08-03 08:26:36.523413+00,0.2.0
poliwrath,62,poliwrath,poliwrath,water,fighting,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwrath,62,2026-08-03 08:26:36.523413+00,0.2.0
abra,63,abra,abra,psychic,,PokéAPI,https://pokeapi.co/api/v2/pokemon/abra,63,2026-08-03 08:26:36.523413+00,0.2.0
kadabra,64,kadabra,kadabra,psychic,,PokéAPI,https://pokeapi.co/api/v2/pokemon/kadabra,64,2026-08-03 08:26:36.523413+00,0.2.0
alakazam,65,alakazam,alakazam,psychic,,PokéAPI,https://pokeapi.co/api/v2/pokemon/alakazam,65,2026-08-03 08:26:36.523413+00,0.2.0
machop,66,machop,machop,fighting,,PokéAPI,https://pokeapi.co/api/v2/pokemon/machop,66,2026-08-03 08:26:36.523413+00,0.2.0
machoke,67,machoke,machoke,fighting,,PokéAPI,https://pokeapi.co/api/v2/pokemon/machoke,67,2026-08-03 08:26:36.523413+00,0.2.0
machamp,68,machamp,machamp,fighting,,PokéAPI,https://pokeapi.co/api/v2/pokemon/machamp,68,2026-08-03 08:26:36.523413+00,0.2.0
bellsprout,69,bellsprout,bellsprout,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/bellsprout,69,2026-08-03 08:26:36.523413+00,0.2.0
weepinbell,70,weepinbell,weepinbell,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/weepinbell,70,2026-08-03 08:26:36.523413+00,0.2.0
victreebel,71,victreebel,victreebel,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/victreebel,71,2026-08-03 08:26:36.523413+00,0.2.0
tentacool,72,tentacool,tentacool,water,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/tentacool,72,2026-08-03 08:26:36.523413+00,0.2.0
tentacruel,73,tentacruel,tentacruel,water,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/tentacruel,73,2026-08-03 08:26:36.523413+00,0.2.0
geodude,74,geodude,geodude,rock,ground,PokéAPI,https://pokeapi.co/api/v2/pokemon/geodude,74,2026-08-03 08:26:36.523413+00,0.2.0
graveler,75,graveler,graveler,rock,ground,PokéAPI,https://pokeapi.co/api/v2/pokemon/graveler,75,2026-08-03 08:26:36.523413+00,0.2.0
golem,76,golem,golem,rock,ground,PokéAPI,https://pokeapi.co/api/v2/pokemon/golem,76,2026-08-03 08:26:36.523413+00,0.2.0
ponyta,77,ponyta,ponyta,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/ponyta,77,2026-08-03 08:26:36.523413+00,0.2.0
rapidash,78,rapidash,rapidash,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/rapidash,78,2026-08-03 08:26:36.523413+00,0.2.0
slowpoke,79,slowpoke,slowpoke,water,psychic,PokéAPI,https://pokeapi.co/api/v2/pokemon/slowpoke,79,2026-08-03 08:26:36.523413+00,0.2.0
slowbro,80,slowbro,slowbro,water,psychic,PokéAPI,https://pokeapi.co/api/v2/pokemon/slowbro,80,2026-08-03 08:26:36.523413+00,0.2.0
magnemite,81,magnemite,magnemite,electric,steel,PokéAPI,https://pokeapi.co/api/v2/pokemon/magnemite,81,2026-08-03 08:26:36.523413+00,0.2.0
magneton,82,magneton,magneton,electric,steel,PokéAPI,https://pokeapi.co/api/v2/pokemon/magneton,82,2026-08-03 08:26:36.523413+00,0.2.0
farfetchd,83,farfetchd,farfetchd,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/farfetchd,83,2026-08-03 08:26:36.523413+00,0.2.0
doduo,84,doduo,doduo,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/doduo,84,2026-08-03 08:26:36.523413+00,0.2.0
dodrio,85,dodrio,dodrio,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/dodrio,85,2026-08-03 08:26:36.523413+00,0.2.0
seel,86,seel,seel,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/seel,86,2026-08-03 08:26:36.523413+00,0.2.0
dewgong,87,dewgong,dewgong,water,ice,PokéAPI,https://pokeapi.co/api/v2/pokemon/dewgong,87,2026-08-03 08:26:36.523413+00,0.2.0
grimer,88,grimer,grimer,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/grimer,88,2026-08-03 08:26:36.523413+00,0.2.0
muk,89,muk,muk,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/muk,89,2026-08-03 08:26:36.523413+00,0.2.0
shellder,90,shellder,shellder,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/shellder,90,2026-08-03 08:26:36.523413+00,0.2.0
cloyster,91,cloyster,cloyster,water,ice,PokéAPI,https://pokeapi.co/api/v2/pokemon/cloyster,91,2026-08-03 08:26:36.523413+00,0.2.0
gastly,92,gastly,gastly,ghost,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/gastly,92,2026-08-03 08:26:36.523413+00,0.2.0
haunter,93,haunter,haunter,ghost,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/haunter,93,2026-08-03 08:26:36.523413+00,0.2.0
gengar,94,gengar,gengar,ghost,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/gengar,94,2026-08-03 08:26:36.523413+00,0.2.0
onix,95,onix,onix,rock,ground,PokéAPI,https://pokeapi.co/api/v2/pokemon/onix,95,2026-08-03 08:26:36.523413+00,0.2.0
drowzee,96,drowzee,drowzee,psychic,,PokéAPI,https://pokeapi.co/api/v2/pokemon/drowzee,96,2026-08-03 08:26:36.523413+00,0.2.0
hypno,97,hypno,hypno,psychic,,PokéAPI,https://pokeapi.co/api/v2/pokemon/hypno,97,2026-08-03 08:26:36.523413+00,0.2.0
krabby,98,krabby,krabby,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/krabby,98,2026-08-03 08:26:36.523413+00,0.2.0
kingler,99,kingler,kingler,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/kingler,99,2026-08-03 08:26:36.523413+00,0.2.0
voltorb,100,voltorb,voltorb,electric,,PokéAPI,https://pokeapi.co/api/v2/pokemon/voltorb,100,2026-08-03 08:26:36.523413+00,0.2.0
electrode,101,electrode,electrode,electric,,PokéAPI,https://pokeapi.co/api/v2/pokemon/electrode,101,2026-08-03 08:26:36.523413+00,0.2.0
exeggcute,102,exeggcute,exeggcute,grass,psychic,PokéAPI,https://pokeapi.co/api/v2/pokemon/exeggcute,102,2026-08-03 08:26:36.523413+00,0.2.0
exeggutor,103,exeggutor,exeggutor,grass,psychic,PokéAPI,https://pokeapi.co/api/v2/pokemon/exeggutor,103,2026-08-03 08:26:36.523413+00,0.2.0
cubone,104,cubone,cubone,ground,,PokéAPI,https://pokeapi.co/api/v2/pokemon/cubone,104,2026-08-03 08:26:36.523413+00,0.2.0
marowak,105,marowak,marowak,ground,,PokéAPI,https://pokeapi.co/api/v2/pokemon/marowak,105,2026-08-03 08:26:36.523413+00,0.2.0
hitmonlee,106,hitmonlee,hitmonlee,fighting,,PokéAPI,https://pokeapi.co/api/v2/pokemon/hitmonlee,106,2026-08-03 08:26:36.523413+00,0.2.0
hitmonchan,107,hitmonchan,hitmonchan,fighting,,PokéAPI,https://pokeapi.co/api/v2/pokemon/hitmonchan,107,2026-08-03 08:26:36.523413+00,0.2.0
lickitung,108,lickitung,lickitung,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/lickitung,108,2026-08-03 08:26:36.523413+00,0.2.0
koffing,109,koffing,koffing,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/koffing,109,2026-08-03 08:26:36.523413+00,0.2.0
weezing,110,weezing,weezing,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/weezing,110,2026-08-03 08:26:36.523413+00,0.2.0
rhyhorn,111,rhyhorn,rhyhorn,ground,rock,PokéAPI,https://pokeapi.co/api/v2/pokemon/rhyhorn,111,2026-08-03 08:26:36.523413+00,0.2.0
rhydon,112,rhydon,rhydon,ground,rock,PokéAPI,https://pokeapi.co/api/v2/pokemon/rhydon,112,2026-08-03 08:26:36.523413+00,0.2.0
chansey,113,chansey,chansey,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/chansey,113,2026-08-03 08:26:36.523413+00,0.2.0
tangela,114,tangela,tangela,grass,,PokéAPI,https://pokeapi.co/api/v2/pokemon/tangela,114,2026-08-03 08:26:36.523413+00,0.2.0
kangaskhan,115,kangaskhan,kangaskhan,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/kangaskhan,115,2026-08-03 08:26:36.523413+00,0.2.0
horsea,116,horsea,horsea,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/horsea,116,2026-08-03 08:26:36.523413+00,0.2.0
seadra,117,seadra,seadra,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/seadra,117,2026-08-03 08:26:36.523413+00,0.2.0
goldeen,118,goldeen,goldeen,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/goldeen,118,2026-08-03 08:26:36.523413+00,0.2.0
seaking,119,seaking,seaking,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/seaking,119,2026-08-03 08:26:36.523413+00,0.2.0
staryu,120,staryu,staryu,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/staryu,120,2026-08-03 08:26:36.523413+00,0.2.0
starmie,121,starmie,starmie,water,psychic,PokéAPI,https://pokeapi.co/api/v2/pokemon/starmie,121,2026-08-03 08:26:36.523413+00,0.2.0
mr-mime,122,mr-mime,mr-mime,psychic,fairy,PokéAPI,https://pokeapi.co/api/v2/pokemon/mr-mime,122,2026-08-03 08:26:36.523413+00,0.2.0
scyther,123,scyther,scyther,bug,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/scyther,123,2026-08-03 08:26:36.523413+00,0.2.0
jynx,124,jynx,jynx,ice,psychic,PokéAPI,https://pokeapi.co/api/v2/pokemon/jynx,124,2026-08-03 08:26:36.523413+00,0.2.0
electabuzz,125,electabuzz,electabuzz,electric,,PokéAPI,https://pokeapi.co/api/v2/pokemon/electabuzz,125,2026-08-03 08:26:36.523413+00,0.2.0
magmar,126,magmar,magmar,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/magmar,126,2026-08-03 08:26:36.523413+00,0.2.0
pinsir,127,pinsir,pinsir,bug,,PokéAPI,https://pokeapi.co/api/v2/pokemon/pinsir,127,2026-08-03 08:26:36.523413+00,0.2.0
tauros,128,tauros,tauros,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/tauros,128,2026-08-03 08:26:36.523413+00,0.2.0
magikarp,129,magikarp,magikarp,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/magikarp,129,2026-08-03 08:26:36.523413+00,0.2.0
gyarados,130,gyarados,gyarados,water,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/gyarados,130,2026-08-03 08:26:36.523413+00,0.2.0
lapras,131,lapras,lapras,water,ice,PokéAPI,https://pokeapi.co/api/v2/pokemon/lapras,131,2026-08-03 08:26:36.523413+00,0.2.0
ditto,132,ditto,ditto,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/ditto,132,2026-08-03 08:26:36.523413+00,0.2.0
eevee,133,eevee,eevee,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/eevee,133,2026-08-03 08:26:36.523413+00,0.2.0
vaporeon,134,vaporeon,vaporeon,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/vaporeon,134,2026-08-03 08:26:36.523413+00,0.2.0
jolteon,135,jolteon,jolteon,electric,,PokéAPI,https://pokeapi.co/api/v2/pokemon/jolteon,135,2026-08-03 08:26:36.523413+00,0.2.0
flareon,136,flareon,flareon,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/flareon,136,2026-08-03 08:26:36.523413+00,0.2.0
porygon,137,porygon,porygon,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/porygon,137,2026-08-03 08:26:36.523413+00,0.2.0
omanyte,138,omanyte,omanyte,rock,water,PokéAPI,https://pokeapi.co/api/v2/pokemon/omanyte,138,2026-08-03 08:26:36.523413+00,0.2.0
omastar,139,omastar,omastar,rock,water,PokéAPI,https://pokeapi.co/api/v2/pokemon/omastar,139,2026-08-03 08:26:36.523413+00,0.2.0
kabuto,140,kabuto,kabuto,rock,water,PokéAPI,https://pokeapi.co/api/v2/pokemon/kabuto,140,2026-08-03 08:26:36.523413+00,0.2.0
kabutops,141,kabutops,kabutops,rock,water,PokéAPI,https://pokeapi.co/api/v2/pokemon/kabutops,141,2026-08-03 08:26:36.523413+00,0.2.0
aerodactyl,142,aerodactyl,aerodactyl,rock,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/aerodactyl,142,2026-08-03 08:26:36.523413+00,0.2.0
snorlax,143,snorlax,snorlax,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/snorlax,143,2026-08-03 08:26:36.523413+00,0.2.0
articuno,144,articuno,articuno,ice,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/articuno,144,2026-08-03 08:26:36.523413+00,0.2.0
zapdos,145,zapdos,zapdos,electric,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/zapdos,145,2026-08-03 08:26:36.523413+00,0.2.0
moltres,146,moltres,moltres,fire,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/moltres,146,2026-08-03 08:26:36.523413+00,0.2.0
dratini,147,dratini,dratini,dragon,,PokéAPI,https://pokeapi.co/api/v2/pokemon/dratini,147,2026-08-03 08:26:36.523413+00,0.2.0
dragonair,148,dragonair,dragonair,dragon,,PokéAPI,https://pokeapi.co/api/v2/pokemon/dragonair,148,2026-08-03 08:26:36.523413+00,0.2.0
dragonite,149,dragonite,dragonite,dragon,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/dragonite,149,2026-08-03 08:26:36.523413+00,0.2.0
mewtwo,150,mewtwo,mewtwo,psychic,,PokéAPI,https://pokeapi.co/api/v2/pokemon/mewtwo,150,2026-08-03 08:26:36.523413+00,0.2.0
mew,151,mew,mew,psychic,,PokéAPI,https://pokeapi.co/api/v2/pokemon/mew,151,2026-08-03 08:26:36.523413+00,0.2.0
chikorita,152,chikorita,chikorita,grass,,PokéAPI,https://pokeapi.co/api/v2/pokemon/chikorita,152,2026-08-03 08:26:36.523413+00,0.2.0
bayleef,153,bayleef,bayleef,grass,,PokéAPI,https://pokeapi.co/api/v2/pokemon/bayleef,153,2026-08-03 08:26:36.523413+00,0.2.0
meganium,154,meganium,meganium,grass,,PokéAPI,https://pokeapi.co/api/v2/pokemon/meganium,154,2026-08-03 08:26:36.523413+00,0.2.0
cyndaquil,155,cyndaquil,cyndaquil,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/cyndaquil,155,2026-08-03 08:26:36.523413+00,0.2.0
quilava,156,quilava,quilava,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/quilava,156,2026-08-03 08:26:36.523413+00,0.2.0
typhlosion,157,typhlosion,typhlosion,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/typhlosion,157,2026-08-03 08:26:36.523413+00,0.2.0
totodile,158,totodile,totodile,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/totodile,158,2026-08-03 08:26:36.523413+00,0.2.0
croconaw,159,croconaw,croconaw,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/croconaw,159,2026-08-03 08:26:36.523413+00,0.2.0
feraligatr,160,feraligatr,feraligatr,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/feraligatr,160,2026-08-03 08:26:36.523413+00,0.2.0
sentret,161,sentret,sentret,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/sentret,161,2026-08-03 08:26:36.523413+00,0.2.0
furret,162,furret,furret,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/furret,162,2026-08-03 08:26:36.523413+00,0.2.0
hoothoot,163,hoothoot,hoothoot,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/hoothoot,163,2026-08-03 08:26:36.523413+00,0.2.0
noctowl,164,noctowl,noctowl,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/noctowl,164,2026-08-03 08:26:36.523413+00,0.2.0
ledyba,165,ledyba,ledyba,bug,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/ledyba,165,2026-08-03 08:26:36.523413+00,0.2.0
ledian,166,ledian,ledian,bug,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/ledian,166,2026-08-03 08:26:36.523413+00,0.2.0
spinarak,167,spinarak,spinarak,bug,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/spinarak,167,2026-08-03 08:26:36.523413+00,0.2.0
ariados,168,ariados,ariados,bug,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/ariados,168,2026-08-03 08:26:36.523413+00,0.2.0
crobat,169,crobat,crobat,poison,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/crobat,169,2026-08-03 08:26:36.523413+00,0.2.0
chinchou,170,chinchou,chinchou,water,electric,PokéAPI,https://pokeapi.co/api/v2/pokemon/chinchou,170,2026-08-03 08:26:36.523413+00,0.2.0
lanturn,171,lanturn,lanturn,water,electric,PokéAPI,https://pokeapi.co/api/v2/pokemon/lanturn,171,2026-08-03 08:26:36.523413+00,0.2.0
pichu,172,pichu,pichu,electric,,PokéAPI,https://pokeapi.co/api/v2/pokemon/pichu,172,2026-08-03 08:26:36.523413+00,0.2.0
cleffa,173,cleffa,cleffa,fairy,,PokéAPI,https://pokeapi.co/api/v2/pokemon/cleffa,173,2026-08-03 08:26:36.523413+00,0.2.0
igglybuff,174,igglybuff,igglybuff,normal,fairy,PokéAPI,https://pokeapi.co/api/v2/pokemon/igglybuff,174,2026-08-03 08:26:36.523413+00,0.2.0
togepi,175,togepi,togepi,fairy,,PokéAPI,https://pokeapi.co/api/v2/pokemon/togepi,175,2026-08-03 08:26:36.523413+00,0.2.0
