team_list_member_id,team_list_id,pokemon_key,pokemon_id,slot_number,item_name,ability,nature,moves,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
6764:3,6764,floette-mega,670,3,Floettite,Flower Veil,Timid,Dazzling Gleam|Draining Kiss|Calm Mind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6764,436:6764:4063:3,2026-08-03 08:41:23.658111+00,0.2.0
6769:1,6769,charizard-mega-y,6,1,Charizardite Y,Blaze,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6769,436:6769:2157:1,2026-08-03 08:41:23.658111+00,0.2.0
6772:5,6772,gengar-mega,94,5,Gengarite,Cursed Body,Modest,Shadow Ball|Sludge Bomb|Perish Song|Protect,Limitless VGC,https://limitlessvgc.com/teams/6772,436:6772:1586:5,2026-08-03 08:41:23.658111+00,0.2.0
6778:4,6778,dragonite-mega,149,4,Dragoninite,Multiscale,Modest,Dragon Pulse|Flamethrower|Thunderbolt|Protect,Limitless VGC,https://limitlessvgc.com/teams/6778,436:6778:1603:4,2026-08-03 08:41:23.658111+00,0.2.0
6779:1,6779,venusaur-mega,3,1,Venusaurite,Chlorophyll,Modest,Sludge Bomb|Earth Power|Giga Drain|Protect,Limitless VGC,https://limitlessvgc.com/teams/6779,436:6779:4952:1,2026-08-03 08:41:23.658111+00,0.2.0
6781:3,6781,gyarados-mega,130,3,Gyaradosite,Intimidate,Jolly,Waterfall|Lash Out|Dragon Dance|Protect,Limitless VGC,https://limitlessvgc.com/teams/6781,436:6781:4954:3,2026-08-03 08:41:23.658111+00,0.2.0
6788:6,6788,gengar-mega,94,6,Gengarite,Cursed Body,Timid,Shadow Ball|Sludge Bomb|Perish Song|Protect,Limitless VGC,https://limitlessvgc.com/teams/6788,436:6788:2973:6,2026-08-03 08:41:23.658111+00,0.2.0
6789:3,6789,charizard-mega-y,6,3,Charizardite Y,Blaze,Modest,Protect|Heat Wave|Solar Beam|Weather Ball,Limitless VGC,https://limitlessvgc.com/teams/6789,436:6789:2702:3,2026-08-03 08:41:23.658111+00,0.2.0
6794:3,6794,charizard-mega-x,6,3,Charizardite X,Blaze,Adamant,Protect|Flare Blitz|Dragon Claw|Dragon Dance,Limitless VGC,https://limitlessvgc.com/teams/6794,436:6794:4082:3,2026-08-03 08:41:23.658111+00,0.2.0
6796:4,6796,dragonite-mega,149,4,Dragoninite,Multiscale,Modest,Dragon Pulse|Flamethrower|Tailwind|Thunderbolt,Limitless VGC,https://limitlessvgc.com/teams/6796,436:6796:1815:4,2026-08-03 08:41:23.658111+00,0.2.0
6796:6,6796,charizard-mega-y,6,6,Charizardite Y,Blaze,Modest,Protect|Solar Beam|Heat Wave|Overheat,Limitless VGC,https://limitlessvgc.com/teams/6796,436:6796:1815:6,2026-08-03 08:41:23.658111+00,0.2.0
6798:4,6798,floette-mega,670,4,Floettite,Flower Veil,Timid,Moonblast|Dazzling Gleam|Light of Ruin|Protect,Limitless VGC,https://limitlessvgc.com/teams/6798,436:6798:4958:4,2026-08-03 08:41:23.658111+00,0.2.0
6456:5,6456,scovillain-mega,952,5,Scovillainite,Moody,Calm,Protect|Leech Seed|Rage Powder|Overheat,Limitless VGC,https://limitlessvgc.com/teams/6456,434:6456:3308:5,2026-08-03 08:41:23.658111+00,0.2.0
6804:1,6804,gengar-mega,94,1,Gengarite,Cursed Body,Timid,Sludge Bomb|Shadow Ball|Disable|Protect,Limitless VGC,https://limitlessvgc.com/teams/6804,436:6804:1899:1,2026-08-03 08:41:23.658111+00,0.2.0
6806:1,6806,delphox-mega,655,1,Delphoxite,Blaze,Timid,Heat Wave|Psyshock|Encore|Protect,Limitless VGC,https://limitlessvgc.com/teams/6806,436:6806:4963:1,2026-08-03 08:41:23.658111+00,0.2.0
6575:2,6575,floette-mega,670,2,Floettite,Flower Veil,Timid,Draining Kiss|Calm Mind|Moonblast|Protect,Limitless VGC,https://limitlessvgc.com/teams/6575,435:6575:37:2,2026-08-03 08:41:23.658111+00,0.2.0
6576:2,6576,floette-mega,670,2,Floettite,Flower Veil,Timid,Moonblast|Dazzling Gleam|Calm Mind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6576,435:6576:50:2,2026-08-03 08:41:23.658111+00,0.2.0
6583:5,6583,charizard-mega-y,6,5,Charizardite Y,Blaze,Modest,Weather Ball|Heat Wave|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6583,435:6583:4207:5,2026-08-03 08:41:23.658111+00,0.2.0
6587:5,6587,floette-mega,670,5,Floettite,Flower Veil,Modest,Moonblast|Dazzling Gleam|Light of Ruin|Protect,Limitless VGC,https://limitlessvgc.com/teams/6587,435:6587:2117:5,2026-08-03 08:41:23.658111+00,0.2.0
6588:5,6588,charizard-mega-x,6,5,Charizardite X,Blaze,Adamant,Flare Blitz|Dragon Claw|Dragon Dance|Protect,Limitless VGC,https://limitlessvgc.com/teams/6588,435:6588:6:5,2026-08-03 08:41:23.658111+00,0.2.0
6591:5,6591,floette-mega,670,5,Floettite,Flower Veil,Timid,Light of Ruin|Moonblast|Dazzling Gleam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6591,435:6591:4145:5,2026-08-03 08:41:23.658111+00,0.2.0
6593:5,6593,floette-mega,670,5,Floettite,Flower Veil,Timid,Moonblast|Dazzling Gleam|Light of Ruin|Protect,Limitless VGC,https://limitlessvgc.com/teams/6593,435:6593:2428:5,2026-08-03 08:41:23.658111+00,0.2.0
6595:3,6595,tyranitar-mega,248,3,Tyranitarite,Sand Stream,Adamant,Rock Slide|Knock Off|Low Kick|Protect,Limitless VGC,https://limitlessvgc.com/teams/6595,435:6595:1091:3,2026-08-03 08:41:23.658111+00,0.2.0
6595:6,6595,scizor-mega,212,6,Scizorite,Technician,Adamant,Bullet Punch|Bug Bite|Swords Dance|Protect,Limitless VGC,https://limitlessvgc.com/teams/6595,435:6595:1091:6,2026-08-03 08:41:23.658111+00,0.2.0
6599:5,6599,charizard-mega-x,6,5,Charizardite X,Blaze,Adamant,Flare Blitz|Dragon Claw|Dragon Dance|Protect,Limitless VGC,https://limitlessvgc.com/teams/6599,435:6599:1154:5,2026-08-03 08:41:23.658111+00,0.2.0
6600:1,6600,charizard-mega-y,6,1,Charizardite Y,Blaze,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6600,435:6600:4547:1,2026-08-03 08:41:23.658111+00,0.2.0
6607:6,6607,charizard-mega-y,6,6,Charizardite Y,Solar Power,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6607,435:6607:64:6,2026-08-03 08:41:23.658111+00,0.2.0
6609:2,6609,froslass-mega,478,2,Froslassite,Cursed Body,Modest,Blizzard|Shadow Ball|Aurora Veil|Protect,Limitless VGC,https://limitlessvgc.com/teams/6609,435:6609:3566:2,2026-08-03 08:41:23.658111+00,0.2.0
6611:2,6611,charizard-mega-x,6,2,Charizardite X,Blaze,Adamant,Breaking Swipe|Temper Flare|Dragon Dance|Protect,Limitless VGC,https://limitlessvgc.com/teams/6611,435:6611:4139:2,2026-08-03 08:41:23.658111+00,0.2.0
6613:2,6613,charizard-mega-y,6,2,Charizardite Y,Solar Power,Modest,Solar Beam|Heat Wave|Protect|Weather Ball,Limitless VGC,https://limitlessvgc.com/teams/6613,435:6613:2255:2,2026-08-03 08:41:23.658111+00,0.2.0
6616:5,6616,tyranitar-mega,248,5,Tyranitarite,Sand Stream,Adamant,Rock Slide|Knock Off|Low Kick|Protect,Limitless VGC,https://limitlessvgc.com/teams/6616,435:6616:3550:5,2026-08-03 08:41:23.658111+00,0.2.0
6618:2,6618,aerodactyl-mega,142,2,Aerodactylite,Unnerve,Jolly,Rock Slide|Dual Wingbeat|Tailwind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6618,435:6618:1837:2,2026-08-03 08:41:23.658111+00,0.2.0
6626:2,6626,delphox-mega,655,2,Delphoxite,Blaze,Timid,Heat Wave|Psyshock|Substitute|Protect,Limitless VGC,https://limitlessvgc.com/teams/6626,435:6626:2476:2,2026-08-03 08:41:23.658111+00,0.2.0
6628:4,6628,dragonite-mega,149,4,Dragoninite,Multiscale,Timid,Dragon Pulse|Air Slash|Thunderbolt|Protect,Limitless VGC,https://limitlessvgc.com/teams/6628,435:6628:4917:4,2026-08-03 08:41:23.658111+00,0.2.0
6630:5,6630,venusaur-mega,3,5,Venusaurite,Chlorophyll,Modest,Sludge Bomb|Leech Seed|Earth Power|Protect,Limitless VGC,https://limitlessvgc.com/teams/6630,435:6630:1515:5,2026-08-03 08:41:23.658111+00,0.2.0
6631:2,6631,froslass-mega,478,2,Froslassite,Cursed Body,Modest,Blizzard|Shadow Ball|Aurora Veil|Protect,Limitless VGC,https://limitlessvgc.com/teams/6631,435:6631:2002:2,2026-08-03 08:41:23.658111+00,0.2.0
6632:2,6632,venusaur-mega,3,2,Venusaurite,Chlorophyll,Modest,Protect|Giga Drain|Earth Power|Sludge Bomb,Limitless VGC,https://limitlessvgc.com/teams/6632,435:6632:4919:2,2026-08-03 08:41:23.658111+00,0.2.0
6634:4,6634,floette-mega,670,4,Floettite,Flower Veil,Modest,Moonblast|Dazzling Gleam|Calm Mind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6634,435:6634:2873:4,2026-08-03 08:41:23.658111+00,0.2.0
6637:5,6637,charizard-mega-y,6,5,Charizardite Y,Blaze,Modest,Heat Wave|Solar Beam|Weather Ball|Protect,Limitless VGC,https://limitlessvgc.com/teams/6637,435:6637:4336:5,2026-08-03 08:41:23.658111+00,0.2.0
6639:4,6639,scovillain-mega,952,4,Scovillainite,Moody,Calm,Rage Powder|Overheat|Leech Seed|Protect,Limitless VGC,https://limitlessvgc.com/teams/6639,435:6639:3713:4,2026-08-03 08:41:23.658111+00,0.2.0
6643:1,6643,scovillain-mega,952,1,Scovillainite,Moody,Calm,Protect|Leech Seed|Rage Powder|Overheat,Limitless VGC,https://limitlessvgc.com/teams/6643,435:6643:2024:1,2026-08-03 08:41:23.658111+00,0.2.0
6648:5,6648,tyranitar-mega,248,5,Tyranitarite,Sand Stream,Adamant,Protect|Rock Slide|Knock Off|Low Kick,Limitless VGC,https://limitlessvgc.com/teams/6648,435:6648:4924:5,2026-08-03 08:41:23.658111+00,0.2.0
6649:5,6649,charizard-mega-y,6,5,Charizardite Y,Blaze,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6649,435:6649:4003:5,2026-08-03 08:41:23.658111+00,0.2.0
6655:5,6655,charizard-mega-y,6,5,Charizardite Y,Blaze,Timid,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6655,435:6655:4689:5,2026-08-03 08:41:23.658111+00,0.2.0
6657:3,6657,aerodactyl-mega,142,3,Aerodactylite,Unnerve,Jolly,Rock Slide|Dual Wingbeat|Tailwind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6657,435:6657:4926:3,2026-08-03 08:41:23.658111+00,0.2.0
6657:6,6657,scizor-mega,212,6,Scizorite,Technician,Adamant,Bullet Punch|Bug Bite|Swords Dance|Protect,Limitless VGC,https://limitlessvgc.com/teams/6657,435:6657:4926:6,2026-08-03 08:41:23.658111+00,0.2.0
6660:5,6660,floette-mega,670,5,Floettite,Flower Veil,Timid,Light of Ruin|Moonblast|Dazzling Gleam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6660,435:6660:4929:5,2026-08-03 08:41:23.658111+00,0.2.0
6661:1,6661,scovillain-mega,952,1,Scovillainite,Spicy Spray,Calm,Flamethrower|Leech Seed|Rage Powder|Protect,Limitless VGC,https://limitlessvgc.com/teams/6661,435:6661:107:1,2026-08-03 08:41:23.658111+00,0.2.0
6662:1,6662,gengar-mega,94,1,Gengarite,Cursed Body,Timid,Shadow Ball|Sludge Bomb|Disable|Protect,Limitless VGC,https://limitlessvgc.com/teams/6662,435:6662:1765:1,2026-08-03 08:41:23.658111+00,0.2.0
6663:5,6663,tyranitar-mega,248,5,Tyranitarite,Sand Stream,Jolly,Rock Slide|Knock Off|Dragon Dance|Protect,Limitless VGC,https://limitlessvgc.com/teams/6663,435:6663:4160:5,2026-08-03 08:41:23.658111+00,0.2.0
6666:3,6666,floette-mega,670,3,Floettite,Flower Veil,Timid,Dazzling Gleam|Protect|Moonblast|Light of Ruin,Limitless VGC,https://limitlessvgc.com/teams/6666,435:6666:4930:3,2026-08-03 08:41:23.658111+00,0.2.0
6666:6,6666,charizard-mega-y,6,6,Charizardite Y,Solar Power,Modest,Heat Wave|Protect|Weather Ball|Solar Beam,Limitless VGC,https://limitlessvgc.com/teams/6666,435:6666:4930:6,2026-08-03 08:41:23.658111+00,0.2.0
6667:2,6667,charizard-mega-y,6,2,Charizardite Y,Blaze,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6667,435:6667:4931:2,2026-08-03 08:41:23.658111+00,0.2.0
6675:3,6675,charizard-mega-y,6,3,Charizardite Y,Blaze,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6675,435:6675:4933:3,2026-08-03 08:41:23.658111+00,0.2.0
6679:4,6679,aerodactyl-mega,142,4,Aerodactylite,Unnerve,Jolly,Rock Slide|Dual Wingbeat|Tailwind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6679,435:6679:32:4,2026-08-03 08:41:23.658111+00,0.2.0
6679:6,6679,floette-mega,670,6,Floettite,Flower Veil,Modest,Moonblast|Dazzling Gleam|Calm Mind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6679,435:6679:32:6,2026-08-03 08:41:23.658111+00,0.2.0
6680:2,6680,aerodactyl-mega,142,2,Aerodactylite,Unnerve,Jolly,Rock Slide|Dual Wingbeat|Tailwind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6680,435:6680:4935:2,2026-08-03 08:41:23.658111+00,0.2.0
6682:3,6682,charizard-mega-y,6,3,Charizardite Y,Blaze,Timid,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6682,435:6682:3456:3,2026-08-03 08:41:23.658111+00,0.2.0
6685:2,6685,lopunny-mega,428,2,Lopunnite,Cute Charm,Jolly,Close Combat|Quick Attack|Encore|Fake Out,Limitless VGC,https://limitlessvgc.com/teams/6685,435:6685:4179:2,2026-08-03 08:41:23.658111+00,0.2.0
6687:2,6687,charizard-mega-y,6,2,Charizardite Y,Blaze,Timid,Solar Beam|Weather Ball|Heat Wave|Protect,Limitless VGC,https://limitlessvgc.com/teams/6687,435:6687:4937:2,2026-08-03 08:41:23.658111+00,0.2.0
6689:1,6689,charizard-mega-y,6,1,Charizardite Y,Blaze,Modest,Heat Wave|Protect|Solar Beam|Weather Ball,Limitless VGC,https://limitlessvgc.com/teams/6689,435:6689:2898:1,2026-08-03 08:41:23.658111+00,0.2.0
6691:5,6691,floette-mega,670,5,Floettite,Flower Veil,Modest,Moonblast|Dazzling Gleam|Light of Ruin|Protect,Limitless VGC,https://limitlessvgc.com/teams/6691,435:6691:4938:5,2026-08-03 08:41:23.658111+00,0.2.0
6692:1,6692,crabominable-mega,740,1,Crabominite,Hyper Cutter,Brave,Close Combat|Ice Hammer|Protect|Mach Punch,Limitless VGC,https://limitlessvgc.com/teams/6692,435:6692:4719:1,2026-08-03 08:41:23.658111+00,0.2.0
6453:2,6453,froslass-mega,478,2,Froslassite,Cursed Body,Modest,Blizzard|Shadow Ball|Aurora Veil|Protect,Limitless VGC,https://limitlessvgc.com/teams/6453,434:6453:4048:2,2026-08-03 08:41:23.658111+00,0.2.0
6454:2,6454,dragonite-mega,149,2,Dragoninite,Multiscale,Modest,Flamethrower|Protect|Thunderbolt|Dragon Pulse,Limitless VGC,https://limitlessvgc.com/teams/6454,434:6454:351:2,2026-08-03 08:41:23.658111+00,0.2.0
6468:2,6468,floette-mega,670,2,Floettite,Flower Veil,Modest,Draining Kiss|Dazzling Gleam|Calm Mind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6468,434:6468:195:2,2026-08-03 08:41:23.658111+00,0.2.0
6477:6,6477,kangaskhan-mega,115,6,Kangaskhanite,Scrappy,Adamant,Double-Edge|Low Kick|Sucker Punch|Fake Out,Limitless VGC,https://limitlessvgc.com/teams/6477,434:6477:1560:6,2026-08-03 08:41:23.658111+00,0.2.0
6479:2,6479,kangaskhan-mega,115,2,Kangaskhanite,Scrappy,Adamant,Double-Edge|Fake Out|Ice Punch|Low Kick,Limitless VGC,https://limitlessvgc.com/teams/6479,434:6479:1135:2,2026-08-03 08:41:23.658111+00,0.2.0
6483:4,6483,aerodactyl-mega,142,4,Aerodactylite,Unnerve,Jolly,Protect|Tailwind|Dual Wingbeat|Rock Slide,Limitless VGC,https://limitlessvgc.com/teams/6483,434:6483:2549:4,2026-08-03 08:41:23.658111+00,0.2.0
6483:6,6483,froslass-mega,478,6,Froslassite,Cursed Body,Modest,Protect|Aurora Veil|Shadow Ball|Blizzard,Limitless VGC,https://limitlessvgc.com/teams/6483,434:6483:2549:6,2026-08-03 08:41:23.658111+00,0.2.0
6493:1,6493,floette-mega,670,1,Floettite,Flower Veil,Modest,Protect|Moonblast|Light of Ruin|Dazzling Gleam,Limitless VGC,https://limitlessvgc.com/teams/6493,434:6493:1287:1,2026-08-03 08:41:23.658111+00,0.2.0
6494:3,6494,gardevoir-mega,282,3,Gardevoirite,Telepathy,Modest,Hyper Voice|Psychic|Trick Room|Protect,Limitless VGC,https://limitlessvgc.com/teams/6494,434:6494:703:3,2026-08-03 08:41:23.658111+00,0.2.0
6495:6,6495,charizard-mega-y,6,6,Charizardite Y,Blaze,Modest,Protect|Heat Wave|Solar Beam|Weather Ball,Limitless VGC,https://limitlessvgc.com/teams/6495,434:6495:4886:6,2026-08-03 08:41:23.658111+00,0.2.0
6496:6,6496,gardevoir-mega,282,6,Gardevoirite,Telepathy,Timid,Hyper Voice|Psyshock|Vacuum Wave|Protect,Limitless VGC,https://limitlessvgc.com/teams/6496,434:6496:1164:6,2026-08-03 08:41:23.658111+00,0.2.0
6497:1,6497,floette-mega,670,1,Floettite,Flower Veil,Modest,Protect|Calm Mind|Moonblast|Dazzling Gleam,Limitless VGC,https://limitlessvgc.com/teams/6497,434:6497:4887:1,2026-08-03 08:41:23.658111+00,0.2.0
6693:3,6693,sylveon,700,3,Fairy Feather,Pixilate,Modest,Detect|Quick Attack|Hyper Voice|Hyper Beam,Limitless VGC,https://limitlessvgc.com/teams/6693,436:6693:33:3,2026-08-03 08:41:23.658111+00,0.2.0
