pokemon_stat_canonical_key,pokemon_key,pokemon_id,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
meowth,meowth,52,40,45,35,40,40,90,290,PokéAPI,https://pokeapi.co/api/v2/pokemon/meowth,52,2026-08-03 08:26:36.523413+00,0.2.0
persian,persian,53,65,70,60,65,65,115,440,PokéAPI,https://pokeapi.co/api/v2/pokemon/persian,53,2026-08-03 08:26:36.523413+00,0.2.0
psyduck,psyduck,54,50,52,48,65,50,55,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/psyduck,54,2026-08-03 08:26:36.523413+00,0.2.0
golduck,golduck,55,80,82,78,95,80,85,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/golduck,55,2026-08-03 08:26:36.523413+00,0.2.0
mankey,mankey,56,40,80,35,35,45,70,305,PokéAPI,https://pokeapi.co/api/v2/pokemon/mankey,56,2026-08-03 08:26:36.523413+00,0.2.0
primeape,primeape,57,65,105,60,60,70,95,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/primeape,57,2026-08-03 08:26:36.523413+00,0.2.0
growlithe,growlithe,58,55,70,45,70,50,60,350,PokéAPI,https://pokeapi.co/api/v2/pokemon/growlithe,58,2026-08-03 08:26:36.523413+00,0.2.0
arcanine,arcanine,59,90,110,80,100,80,95,555,PokéAPI,https://pokeapi.co/api/v2/pokemon/arcanine,59,2026-08-03 08:26:36.523413+00,0.2.0
poliwag,poliwag,60,40,50,40,40,40,90,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwag,60,2026-08-03 08:26:36.523413+00,0.2.0
poliwhirl,poliwhirl,61,65,65,65,50,50,90,385,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwhirl,61,2026-08-03 08:26:36.523413+00,0.2.0
poliwrath,poliwrath,62,90,95,95,70,90,70,510,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwrath,62,2026-08-03 08:26:36.523413+00,0.2.0
abra,abra,63,25,20,15,105,55,90,310,PokéAPI,https://pokeapi.co/api/v2/pokemon/abra,63,2026-08-03 08:26:36.523413+00,0.2.0
kadabra,kadabra,64,40,35,30,120,70,105,400,PokéAPI,https://pokeapi.co/api/v2/pokemon/kadabra,64,2026-08-03 08:26:36.523413+00,0.2.0
alakazam,alakazam,65,55,50,45,135,95,120,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/alakazam,65,2026-08-03 08:26:36.523413+00,0.2.0
machop,machop,66,70,80,50,35,35,35,305,PokéAPI,https://pokeapi.co/api/v2/pokemon/machop,66,2026-08-03 08:26:36.523413+00,0.2.0
machoke,machoke,67,80,100,70,50,60,45,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/machoke,67,2026-08-03 08:26:36.523413+00,0.2.0
machamp,machamp,68,90,130,80,65,85,55,505,PokéAPI,https://pokeapi.co/api/v2/pokemon/machamp,68,2026-08-03 08:26:36.523413+00,0.2.0
bellsprout,bellsprout,69,50,75,35,70,30,40,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/bellsprout,69,2026-08-03 08:26:36.523413+00,0.2.0
weepinbell,weepinbell,70,65,90,50,85,45,55,390,PokéAPI,https://pokeapi.co/api/v2/pokemon/weepinbell,70,2026-08-03 08:26:36.523413+00,0.2.0
victreebel,victreebel,71,80,105,65,100,70,70,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/victreebel,71,2026-08-03 08:26:36.523413+00,0.2.0
tentacool,tentacool,72,40,40,35,50,100,70,335,PokéAPI,https://pokeapi.co/api/v2/pokemon/tentacool,72,2026-08-03 08:26:36.523413+00,0.2.0
tentacruel,tentacruel,73,80,70,65,80,120,100,515,PokéAPI,https://pokeapi.co/api/v2/pokemon/tentacruel,73,2026-08-03 08:26:36.523413+00,0.2.0
geodude,geodude,74,40,80,100,30,30,20,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/geodude,74,2026-08-03 08:26:36.523413+00,0.2.0
graveler,graveler,75,55,95,115,45,45,35,390,PokéAPI,https://pokeapi.co/api/v2/pokemon/graveler,75,2026-08-03 08:26:36.523413+00,0.2.0
golem,golem,76,80,120,130,55,65,45,495,PokéAPI,https://pokeapi.co/api/v2/pokemon/golem,76,2026-08-03 08:26:36.523413+00,0.2.0
ponyta,ponyta,77,50,85,55,65,65,90,410,PokéAPI,https://pokeapi.co/api/v2/pokemon/ponyta,77,2026-08-03 08:26:36.523413+00,0.2.0
rapidash,rapidash,78,65,100,70,80,80,105,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/rapidash,78,2026-08-03 08:26:36.523413+00,0.2.0
slowpoke,slowpoke,79,90,65,65,40,40,15,315,PokéAPI,https://pokeapi.co/api/v2/pokemon/slowpoke,79,2026-08-03 08:26:36.523413+00,0.2.0
slowbro,slowbro,80,95,75,110,100,80,30,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/slowbro,80,2026-08-03 08:26:36.523413+00,0.2.0
magnemite,magnemite,81,25,35,70,95,55,45,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/magnemite,81,2026-08-03 08:26:36.523413+00,0.2.0
magneton,magneton,82,50,60,95,120,70,70,465,PokéAPI,https://pokeapi.co/api/v2/pokemon/magneton,82,2026-08-03 08:26:36.523413+00,0.2.0
farfetchd,farfetchd,83,52,90,55,58,62,60,377,PokéAPI,https://pokeapi.co/api/v2/pokemon/farfetchd,83,2026-08-03 08:26:36.523413+00,0.2.0
doduo,doduo,84,35,85,45,35,35,75,310,PokéAPI,https://pokeapi.co/api/v2/pokemon/doduo,84,2026-08-03 08:26:36.523413+00,0.2.0
dodrio,dodrio,85,60,110,70,60,60,110,470,PokéAPI,https://pokeapi.co/api/v2/pokemon/dodrio,85,2026-08-03 08:26:36.523413+00,0.2.0
seel,seel,86,65,45,55,45,70,45,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/seel,86,2026-08-03 08:26:36.523413+00,0.2.0
dewgong,dewgong,87,90,70,80,70,95,70,475,PokéAPI,https://pokeapi.co/api/v2/pokemon/dewgong,87,2026-08-03 08:26:36.523413+00,0.2.0
grimer,grimer,88,80,80,50,40,50,25,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/grimer,88,2026-08-03 08:26:36.523413+00,0.2.0
muk,muk,89,105,105,75,65,100,50,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/muk,89,2026-08-03 08:26:36.523413+00,0.2.0
shellder,shellder,90,30,65,100,45,25,40,305,PokéAPI,https://pokeapi.co/api/v2/pokemon/shellder,90,2026-08-03 08:26:36.523413+00,0.2.0
cloyster,cloyster,91,50,95,180,85,45,70,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/cloyster,91,2026-08-03 08:26:36.523413+00,0.2.0
gastly,gastly,92,30,35,30,100,35,80,310,PokéAPI,https://pokeapi.co/api/v2/pokemon/gastly,92,2026-08-03 08:26:36.523413+00,0.2.0
haunter,haunter,93,45,50,45,115,55,95,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/haunter,93,2026-08-03 08:26:36.523413+00,0.2.0
gengar,gengar,94,60,65,60,130,75,110,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/gengar,94,2026-08-03 08:26:36.523413+00,0.2.0
onix,onix,95,35,45,160,30,45,70,385,PokéAPI,https://pokeapi.co/api/v2/pokemon/onix,95,2026-08-03 08:26:36.523413+00,0.2.0
drowzee,drowzee,96,60,48,45,43,90,42,328,PokéAPI,https://pokeapi.co/api/v2/pokemon/drowzee,96,2026-08-03 08:26:36.523413+00,0.2.0
hypno,hypno,97,85,73,70,73,115,67,483,PokéAPI,https://pokeapi.co/api/v2/pokemon/hypno,97,2026-08-03 08:26:36.523413+00,0.2.0
krabby,krabby,98,30,105,90,25,25,50,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/krabby,98,2026-08-03 08:26:36.523413+00,0.2.0
kingler,kingler,99,55,130,115,50,50,75,475,PokéAPI,https://pokeapi.co/api/v2/pokemon/kingler,99,2026-08-03 08:26:36.523413+00,0.2.0
voltorb,voltorb,100,40,30,50,55,55,100,330,PokéAPI,https://pokeapi.co/api/v2/pokemon/voltorb,100,2026-08-03 08:26:36.523413+00,0.2.0
electrode,electrode,101,60,50,70,80,80,150,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/electrode,101,2026-08-03 08:26:36.523413+00,0.2.0
exeggcute,exeggcute,102,60,40,80,60,45,40,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/exeggcute,102,2026-08-03 08:26:36.523413+00,0.2.0
exeggutor,exeggutor,103,95,95,85,125,75,55,530,PokéAPI,https://pokeapi.co/api/v2/pokemon/exeggutor,103,2026-08-03 08:26:36.523413+00,0.2.0
cubone,cubone,104,50,50,95,40,50,35,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/cubone,104,2026-08-03 08:26:36.523413+00,0.2.0
marowak,marowak,105,60,80,110,50,80,45,425,PokéAPI,https://pokeapi.co/api/v2/pokemon/marowak,105,2026-08-03 08:26:36.523413+00,0.2.0
hitmonlee,hitmonlee,106,50,120,53,35,110,87,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/hitmonlee,106,2026-08-03 08:26:36.523413+00,0.2.0
hitmonchan,hitmonchan,107,50,105,79,35,110,76,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/hitmonchan,107,2026-08-03 08:26:36.523413+00,0.2.0
lickitung,lickitung,108,90,55,75,60,75,30,385,PokéAPI,https://pokeapi.co/api/v2/pokemon/lickitung,108,2026-08-03 08:26:36.523413+00,0.2.0
koffing,koffing,109,40,65,95,60,45,35,340,PokéAPI,https://pokeapi.co/api/v2/pokemon/koffing,109,2026-08-03 08:26:36.523413+00,0.2.0
weezing,weezing,110,65,90,120,85,70,60,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/weezing,110,2026-08-03 08:26:36.523413+00,0.2.0
rhyhorn,rhyhorn,111,80,85,95,30,30,25,345,PokéAPI,https://pokeapi.co/api/v2/pokemon/rhyhorn,111,2026-08-03 08:26:36.523413+00,0.2.0
rhydon,rhydon,112,105,130,120,45,45,40,485,PokéAPI,https://pokeapi.co/api/v2/pokemon/rhydon,112,2026-08-03 08:26:36.523413+00,0.2.0
chansey,chansey,113,250,5,5,35,105,50,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/chansey,113,2026-08-03 08:26:36.523413+00,0.2.0
tangela,tangela,114,65,55,115,100,40,60,435,PokéAPI,https://pokeapi.co/api/v2/pokemon/tangela,114,2026-08-03 08:26:36.523413+00,0.2.0
kangaskhan,kangaskhan,115,105,95,80,40,80,90,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/kangaskhan,115,2026-08-03 08:26:36.523413+00,0.2.0
horsea,horsea,116,30,40,70,70,25,60,295,PokéAPI,https://pokeapi.co/api/v2/pokemon/horsea,116,2026-08-03 08:26:36.523413+00,0.2.0
seadra,seadra,117,55,65,95,95,45,85,440,PokéAPI,https://pokeapi.co/api/v2/pokemon/seadra,117,2026-08-03 08:26:36.523413+00,0.2.0
goldeen,goldeen,118,45,67,60,35,50,63,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/goldeen,118,2026-08-03 08:26:36.523413+00,0.2.0
seaking,seaking,119,80,92,65,65,80,68,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/seaking,119,2026-08-03 08:26:36.523413+00,0.2.0
staryu,staryu,120,30,45,55,70,55,85,340,PokéAPI,https://pokeapi.co/api/v2/pokemon/staryu,120,2026-08-03 08:26:36.523413+00,0.2.0
starmie,starmie,121,60,75,85,100,85,115,520,PokéAPI,https://pokeapi.co/api/v2/pokemon/starmie,121,2026-08-03 08:26:36.523413+00,0.2.0
mr-mime,mr-mime,122,40,45,65,100,120,90,460,PokéAPI,https://pokeapi.co/api/v2/pokemon/mr-mime,122,2026-08-03 08:26:36.523413+00,0.2.0
scyther,scyther,123,70,110,80,55,80,105,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/scyther,123,2026-08-03 08:26:36.523413+00,0.2.0
jynx,jynx,124,65,50,35,115,95,95,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/jynx,124,2026-08-03 08:26:36.523413+00,0.2.0
electabuzz,electabuzz,125,65,83,57,95,85,105,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/electabuzz,125,2026-08-03 08:26:36.523413+00,0.2.0
magmar,magmar,126,65,95,57,100,85,93,495,PokéAPI,https://pokeapi.co/api/v2/pokemon/magmar,126,2026-08-03 08:26:36.523413+00,0.2.0
pinsir,pinsir,127,65,125,100,55,70,85,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/pinsir,127,2026-08-03 08:26:36.523413+00,0.2.0
tauros,tauros,128,75,100,95,40,70,110,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/tauros,128,2026-08-03 08:26:36.523413+00,0.2.0
magikarp,magikarp,129,20,10,55,15,20,80,200,PokéAPI,https://pokeapi.co/api/v2/pokemon/magikarp,129,2026-08-03 08:26:36.523413+00,0.2.0
gyarados,gyarados,130,95,125,79,60,100,81,540,PokéAPI,https://pokeapi.co/api/v2/pokemon/gyarados,130,2026-08-03 08:26:36.523413+00,0.2.0
lapras,lapras,131,130,85,80,85,95,60,535,PokéAPI,https://pokeapi.co/api/v2/pokemon/lapras,131,2026-08-03 08:26:36.523413+00,0.2.0
ditto,ditto,132,48,48,48,48,48,48,288,PokéAPI,https://pokeapi.co/api/v2/pokemon/ditto,132,2026-08-03 08:26:36.523413+00,0.2.0
eevee,eevee,133,55,55,50,45,65,55,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/eevee,133,2026-08-03 08:26:36.523413+00,0.2.0
vaporeon,vaporeon,134,130,65,60,110,95,65,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/vaporeon,134,2026-08-03 08:26:36.523413+00,0.2.0
jolteon,jolteon,135,65,65,60,110,95,130,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/jolteon,135,2026-08-03 08:26:36.523413+00,0.2.0
flareon,flareon,136,65,130,60,95,110,65,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/flareon,136,2026-08-03 08:26:36.523413+00,0.2.0
porygon,porygon,137,65,60,70,85,75,40,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/porygon,137,2026-08-03 08:26:36.523413+00,0.2.0
omanyte,omanyte,138,35,40,100,90,55,35,355,PokéAPI,https://pokeapi.co/api/v2/pokemon/omanyte,138,2026-08-03 08:26:36.523413+00,0.2.0
omastar,omastar,139,70,60,125,115,70,55,495,PokéAPI,https://pokeapi.co/api/v2/pokemon/omastar,139,2026-08-03 08:26:36.523413+00,0.2.0
kabuto,kabuto,140,30,80,90,55,45,55,355,PokéAPI,https://pokeapi.co/api/v2/pokemon/kabuto,140,2026-08-03 08:26:36.523413+00,0.2.0
kabutops,kabutops,141,60,115,105,65,70,80,495,PokéAPI,https://pokeapi.co/api/v2/pokemon/kabutops,141,2026-08-03 08:26:36.523413+00,0.2.0
aerodactyl,aerodactyl,142,80,105,65,60,75,130,515,PokéAPI,https://pokeapi.co/api/v2/pokemon/aerodactyl,142,2026-08-03 08:26:36.523413+00,0.2.0
snorlax,snorlax,143,160,110,65,65,110,30,540,PokéAPI,https://pokeapi.co/api/v2/pokemon/snorlax,143,2026-08-03 08:26:36.523413+00,0.2.0
articuno,articuno,144,90,85,100,95,125,85,580,PokéAPI,https://pokeapi.co/api/v2/pokemon/articuno,144,2026-08-03 08:26:36.523413+00,0.2.0
zapdos,zapdos,145,90,90,85,125,90,100,580,PokéAPI,https://pokeapi.co/api/v2/pokemon/zapdos,145,2026-08-03 08:26:36.523413+00,0.2.0
moltres,moltres,146,90,100,90,125,85,90,580,PokéAPI,https://pokeapi.co/api/v2/pokemon/moltres,146,2026-08-03 08:26:36.523413+00,0.2.0
dratini,dratini,147,41,64,45,50,50,50,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/dratini,147,2026-08-03 08:26:36.523413+00,0.2.0
dragonair,dragonair,148,61,84,65,70,70,70,420,PokéAPI,https://pokeapi.co/api/v2/pokemon/dragonair,148,2026-08-03 08:26:36.523413+00,0.2.0
dragonite,dragonite,149,91,134,95,100,100,80,600,PokéAPI,https://pokeapi.co/api/v2/pokemon/dragonite,149,2026-08-03 08:26:36.523413+00,0.2.0
mewtwo,mewtwo,150,106,110,90,154,90,130,680,PokéAPI,https://pokeapi.co/api/v2/pokemon/mewtwo,150,2026-08-03 08:26:36.523413+00,0.2.0
mew,mew,151,100,100,100,100,100,100,600,PokéAPI,https://pokeapi.co/api/v2/pokemon/mew,151,2026-08-03 08:26:36.523413+00,0.2.0
chikorita,chikorita,152,45,49,65,49,65,45,318,PokéAPI,https://pokeapi.co/api/v2/pokemon/chikorita,152,2026-08-03 08:26:36.523413+00,0.2.0
bayleef,bayleef,153,60,62,80,63,80,60,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/bayleef,153,2026-08-03 08:26:36.523413+00,0.2.0
meganium,meganium,154,80,82,100,83,100,80,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/meganium,154,2026-08-03 08:26:36.523413+00,0.2.0
cyndaquil,cyndaquil,155,39,52,43,60,50,65,309,PokéAPI,https://pokeapi.co/api/v2/pokemon/cyndaquil,155,2026-08-03 08:26:36.523413+00,0.2.0
quilava,quilava,156,58,64,58,80,65,80,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/quilava,156,2026-08-03 08:26:36.523413+00,0.2.0
typhlosion,typhlosion,157,78,84,78,109,85,100,534,PokéAPI,https://pokeapi.co/api/v2/pokemon/typhlosion,157,2026-08-03 08:26:36.523413+00,0.2.0
totodile,totodile,158,50,65,64,44,48,43,314,PokéAPI,https://pokeapi.co/api/v2/pokemon/totodile,158,2026-08-03 08:26:36.523413+00,0.2.0
croconaw,croconaw,159,65,80,80,59,63,58,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/croconaw,159,2026-08-03 08:26:36.523413+00,0.2.0
feraligatr,feraligatr,160,85,105,100,79,83,78,530,PokéAPI,https://pokeapi.co/api/v2/pokemon/feraligatr,160,2026-08-03 08:26:36.523413+00,0.2.0
sentret,sentret,161,35,46,34,35,45,20,215,PokéAPI,https://pokeapi.co/api/v2/pokemon/sentret,161,2026-08-03 08:26:36.523413+00,0.2.0
furret,furret,162,85,76,64,45,55,90,415,PokéAPI,https://pokeapi.co/api/v2/pokemon/furret,162,2026-08-03 08:26:36.523413+00,0.2.0
hoothoot,hoothoot,163,60,30,30,36,56,50,262,PokéAPI,https://pokeapi.co/api/v2/pokemon/hoothoot,163,2026-08-03 08:26:36.523413+00,0.2.0
noctowl,noctowl,164,100,50,50,86,96,70,452,PokéAPI,https://pokeapi.co/api/v2/pokemon/noctowl,164,2026-08-03 08:26:36.523413+00,0.2.0
ledyba,ledyba,165,40,20,30,40,80,55,265,PokéAPI,https://pokeapi.co/api/v2/pokemon/ledyba,165,2026-08-03 08:26:36.523413+00,0.2.0
ledian,ledian,166,55,35,50,55,110,85,390,PokéAPI,https://pokeapi.co/api/v2/pokemon/ledian,166,2026-08-03 08:26:36.523413+00,0.2.0
