pokemon_key,pokemon_id,pokemon_name,form_name,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
alakazam,65,alakazam,alakazam,PokéAPI,https://pokeapi.co/api/v2/pokemon/alakazam,65,2026-07-21 11:17:17.414942+00,0.0.0-dev
machop,66,machop,machop,PokéAPI,https://pokeapi.co/api/v2/pokemon/machop,66,2026-07-21 11:17:17.414942+00,0.0.0-dev
machoke,67,machoke,machoke,PokéAPI,https://pokeapi.co/api/v2/pokemon/machoke,67,2026-07-21 11:17:17.414942+00,0.0.0-dev
machamp,68,machamp,machamp,PokéAPI,https://pokeapi.co/api/v2/pokemon/machamp,68,2026-07-21 11:17:17.414942+00,0.0.0-dev
bellsprout,69,bellsprout,bellsprout,PokéAPI,https://pokeapi.co/api/v2/pokemon/bellsprout,69,2026-07-21 11:17:17.414942+00,0.0.0-dev
weepinbell,70,weepinbell,weepinbell,PokéAPI,https://pokeapi.co/api/v2/pokemon/weepinbell,70,2026-07-21 11:17:17.414942+00,0.0.0-dev
victreebel,71,victreebel,victreebel,PokéAPI,https://pokeapi.co/api/v2/pokemon/victreebel,71,2026-07-21 11:17:17.414942+00,0.0.0-dev
tentacool,72,tentacool,tentacool,PokéAPI,https://pokeapi.co/api/v2/pokemon/tentacool,72,2026-07-21 11:17:17.414942+00,0.0.0-dev
tentacruel,73,tentacruel,tentacruel,PokéAPI,https://pokeapi.co/api/v2/pokemon/tentacruel,73,2026-07-21 11:17:17.414942+00,0.0.0-dev
geodude,74,geodude,geodude,PokéAPI,https://pokeapi.co/api/v2/pokemon/geodude,74,2026-07-21 11:17:17.414942+00,0.0.0-dev
graveler,75,graveler,graveler,PokéAPI,https://pokeapi.co/api/v2/pokemon/graveler,75,2026-07-21 11:17:17.414942+00,0.0.0-dev
golem,76,golem,golem,PokéAPI,https://pokeapi.co/api/v2/pokemon/golem,76,2026-07-21 11:17:17.414942+00,0.0.0-dev
ponyta,77,ponyta,ponyta,PokéAPI,https://pokeapi.co/api/v2/pokemon/ponyta,77,2026-07-21 11:17:17.414942+00,0.0.0-dev
rapidash,78,rapidash,rapidash,PokéAPI,https://pokeapi.co/api/v2/pokemon/rapidash,78,2026-07-21 11:17:17.414942+00,0.0.0-dev
slowpoke,79,slowpoke,slowpoke,PokéAPI,https://pokeapi.co/api/v2/pokemon/slowpoke,79,2026-07-21 11:17:17.414942+00,0.0.0-dev
slowbro,80,slowbro,slowbro,PokéAPI,https://pokeapi.co/api/v2/pokemon/slowbro,80,2026-07-21 11:17:17.414942+00,0.0.0-dev
magnemite,81,magnemite,magnemite,PokéAPI,https://pokeapi.co/api/v2/pokemon/magnemite,81,2026-07-21 11:17:17.414942+00,0.0.0-dev
magneton,82,magneton,magneton,PokéAPI,https://pokeapi.co/api/v2/pokemon/magneton,82,2026-07-21 11:17:17.414942+00,0.0.0-dev
farfetchd,83,farfetchd,farfetchd,PokéAPI,https://pokeapi.co/api/v2/pokemon/farfetchd,83,2026-07-21 11:17:17.414942+00,0.0.0-dev
doduo,84,doduo,doduo,PokéAPI,https://pokeapi.co/api/v2/pokemon/doduo,84,2026-07-21 11:17:17.414942+00,0.0.0-dev
dodrio,85,dodrio,dodrio,PokéAPI,https://pokeapi.co/api/v2/pokemon/dodrio,85,2026-07-21 11:17:17.414942+00,0.0.0-dev
seel,86,seel,seel,PokéAPI,https://pokeapi.co/api/v2/pokemon/seel,86,2026-07-21 11:17:17.414942+00,0.0.0-dev
dewgong,87,dewgong,dewgong,PokéAPI,https://pokeapi.co/api/v2/pokemon/dewgong,87,2026-07-21 11:17:17.414942+00,0.0.0-dev
grimer,88,grimer,grimer,PokéAPI,https://pokeapi.co/api/v2/pokemon/grimer,88,2026-07-21 11:17:17.414942+00,0.0.0-dev
muk,89,muk,muk,PokéAPI,https://pokeapi.co/api/v2/pokemon/muk,89,2026-07-21 11:17:17.414942+00,0.0.0-dev
shellder,90,shellder,shellder,PokéAPI,https://pokeapi.co/api/v2/pokemon/shellder,90,2026-07-21 11:17:17.414942+00,0.0.0-dev
cloyster,91,cloyster,cloyster,PokéAPI,https://pokeapi.co/api/v2/pokemon/cloyster,91,2026-07-21 11:17:17.414942+00,0.0.0-dev
gastly,92,gastly,gastly,PokéAPI,https://pokeapi.co/api/v2/pokemon/gastly,92,2026-07-21 11:17:17.414942+00,0.0.0-dev
haunter,93,haunter,haunter,PokéAPI,https://pokeapi.co/api/v2/pokemon/haunter,93,2026-07-21 11:17:17.414942+00,0.0.0-dev
gengar,94,gengar,gengar,PokéAPI,https://pokeapi.co/api/v2/pokemon/gengar,94,2026-07-21 11:17:17.414942+00,0.0.0-dev
onix,95,onix,onix,PokéAPI,https://pokeapi.co/api/v2/pokemon/onix,95,2026-07-21 11:17:17.414942+00,0.0.0-dev
drowzee,96,drowzee,drowzee,PokéAPI,https://pokeapi.co/api/v2/pokemon/drowzee,96,2026-07-21 11:17:17.414942+00,0.0.0-dev
hypno,97,hypno,hypno,PokéAPI,https://pokeapi.co/api/v2/pokemon/hypno,97,2026-07-21 11:17:17.414942+00,0.0.0-dev
krabby,98,krabby,krabby,PokéAPI,https://pokeapi.co/api/v2/pokemon/krabby,98,2026-07-21 11:17:17.414942+00,0.0.0-dev
kingler,99,kingler,kingler,PokéAPI,https://pokeapi.co/api/v2/pokemon/kingler,99,2026-07-21 11:17:17.414942+00,0.0.0-dev
voltorb,100,voltorb,voltorb,PokéAPI,https://pokeapi.co/api/v2/pokemon/voltorb,100,2026-07-21 11:17:17.414942+00,0.0.0-dev
electrode,101,electrode,electrode,PokéAPI,https://pokeapi.co/api/v2/pokemon/electrode,101,2026-07-21 11:17:17.414942+00,0.0.0-dev
exeggcute,102,exeggcute,exeggcute,PokéAPI,https://pokeapi.co/api/v2/pokemon/exeggcute,102,2026-07-21 11:17:17.414942+00,0.0.0-dev
exeggutor,103,exeggutor,exeggutor,PokéAPI,https://pokeapi.co/api/v2/pokemon/exeggutor,103,2026-07-21 11:17:17.414942+00,0.0.0-dev
cubone,104,cubone,cubone,PokéAPI,https://pokeapi.co/api/v2/pokemon/cubone,104,2026-07-21 11:17:17.414942+00,0.0.0-dev
marowak,105,marowak,marowak,PokéAPI,https://pokeapi.co/api/v2/pokemon/marowak,105,2026-07-21 11:17:17.414942+00,0.0.0-dev
hitmonlee,106,hitmonlee,hitmonlee,PokéAPI,https://pokeapi.co/api/v2/pokemon/hitmonlee,106,2026-07-21 11:17:17.414942+00,0.0.0-dev
hitmonchan,107,hitmonchan,hitmonchan,PokéAPI,https://pokeapi.co/api/v2/pokemon/hitmonchan,107,2026-07-21 11:17:17.414942+00,0.0.0-dev
lickitung,108,lickitung,lickitung,PokéAPI,https://pokeapi.co/api/v2/pokemon/lickitung,108,2026-07-21 11:17:17.414942+00,0.0.0-dev
koffing,109,koffing,koffing,PokéAPI,https://pokeapi.co/api/v2/pokemon/koffing,109,2026-07-21 11:17:17.414942+00,0.0.0-dev
weezing,110,weezing,weezing,PokéAPI,https://pokeapi.co/api/v2/pokemon/weezing,110,2026-07-21 11:17:17.414942+00,0.0.0-dev
rhyhorn,111,rhyhorn,rhyhorn,PokéAPI,https://pokeapi.co/api/v2/pokemon/rhyhorn,111,2026-07-21 11:17:17.414942+00,0.0.0-dev
rhydon,112,rhydon,rhydon,PokéAPI,https://pokeapi.co/api/v2/pokemon/rhydon,112,2026-07-21 11:17:17.414942+00,0.0.0-dev
chansey,113,chansey,chansey,PokéAPI,https://pokeapi.co/api/v2/pokemon/chansey,113,2026-07-21 11:17:17.414942+00,0.0.0-dev
tangela,114,tangela,tangela,PokéAPI,https://pokeapi.co/api/v2/pokemon/tangela,114,2026-07-21 11:17:17.414942+00,0.0.0-dev
kangaskhan,115,kangaskhan,kangaskhan,PokéAPI,https://pokeapi.co/api/v2/pokemon/kangaskhan,115,2026-07-21 11:17:17.414942+00,0.0.0-dev
horsea,116,horsea,horsea,PokéAPI,https://pokeapi.co/api/v2/pokemon/horsea,116,2026-07-21 11:17:17.414942+00,0.0.0-dev
seadra,117,seadra,seadra,PokéAPI,https://pokeapi.co/api/v2/pokemon/seadra,117,2026-07-21 11:17:17.414942+00,0.0.0-dev
goldeen,118,goldeen,goldeen,PokéAPI,https://pokeapi.co/api/v2/pokemon/goldeen,118,2026-07-21 11:17:17.414942+00,0.0.0-dev
seaking,119,seaking,seaking,PokéAPI,https://pokeapi.co/api/v2/pokemon/seaking,119,2026-07-21 11:17:17.414942+00,0.0.0-dev
staryu,120,staryu,staryu,PokéAPI,https://pokeapi.co/api/v2/pokemon/staryu,120,2026-07-21 11:17:17.414942+00,0.0.0-dev
starmie,121,starmie,starmie,PokéAPI,https://pokeapi.co/api/v2/pokemon/starmie,121,2026-07-21 11:17:17.414942+00,0.0.0-dev
mr-mime,122,mr-mime,mr-mime,PokéAPI,https://pokeapi.co/api/v2/pokemon/mr-mime,122,2026-07-21 11:17:17.414942+00,0.0.0-dev
scyther,123,scyther,scyther,PokéAPI,https://pokeapi.co/api/v2/pokemon/scyther,123,2026-07-21 11:17:17.414942+00,0.0.0-dev
jynx,124,jynx,jynx,PokéAPI,https://pokeapi.co/api/v2/pokemon/jynx,124,2026-07-21 11:17:17.414942+00,0.0.0-dev
electabuzz,125,electabuzz,electabuzz,PokéAPI,https://pokeapi.co/api/v2/pokemon/electabuzz,125,2026-07-21 11:17:17.414942+00,0.0.0-dev
magmar,126,magmar,magmar,PokéAPI,https://pokeapi.co/api/v2/pokemon/magmar,126,2026-07-21 11:17:17.414942+00,0.0.0-dev
pinsir,127,pinsir,pinsir,PokéAPI,https://pokeapi.co/api/v2/pokemon/pinsir,127,2026-07-21 11:17:17.414942+00,0.0.0-dev
tauros,128,tauros,tauros,PokéAPI,https://pokeapi.co/api/v2/pokemon/tauros,128,2026-07-21 11:17:17.414942+00,0.0.0-dev
magikarp,129,magikarp,magikarp,PokéAPI,https://pokeapi.co/api/v2/pokemon/magikarp,129,2026-07-21 11:17:17.414942+00,0.0.0-dev
gyarados,130,gyarados,gyarados,PokéAPI,https://pokeapi.co/api/v2/pokemon/gyarados,130,2026-07-21 11:17:17.414942+00,0.0.0-dev
lapras,131,lapras,lapras,PokéAPI,https://pokeapi.co/api/v2/pokemon/lapras,131,2026-07-21 11:17:17.414942+00,0.0.0-dev
ditto,132,ditto,ditto,PokéAPI,https://pokeapi.co/api/v2/pokemon/ditto,132,2026-07-21 11:17:17.414942+00,0.0.0-dev
eevee,133,eevee,eevee,PokéAPI,https://pokeapi.co/api/v2/pokemon/eevee,133,2026-07-21 11:17:17.414942+00,0.0.0-dev
vaporeon,134,vaporeon,vaporeon,PokéAPI,https://pokeapi.co/api/v2/pokemon/vaporeon,134,2026-07-21 11:17:17.414942+00,0.0.0-dev
jolteon,135,jolteon,jolteon,PokéAPI,https://pokeapi.co/api/v2/pokemon/jolteon,135,2026-07-21 11:17:17.414942+00,0.0.0-dev
flareon,136,flareon,flareon,PokéAPI,https://pokeapi.co/api/v2/pokemon/flareon,136,2026-07-21 11:17:17.414942+00,0.0.0-dev
porygon,137,porygon,porygon,PokéAPI,https://pokeapi.co/api/v2/pokemon/porygon,137,2026-07-21 11:17:17.414942+00,0.0.0-dev
omanyte,138,omanyte,omanyte,PokéAPI,https://pokeapi.co/api/v2/pokemon/omanyte,138,2026-07-21 11:17:17.414942+00,0.0.0-dev
omastar,139,omastar,omastar,PokéAPI,https://pokeapi.co/api/v2/pokemon/omastar,139,2026-07-21 11:17:17.414942+00,0.0.0-dev
kabuto,140,kabuto,kabuto,PokéAPI,https://pokeapi.co/api/v2/pokemon/kabuto,140,2026-07-21 11:17:17.414942+00,0.0.0-dev
kabutops,141,kabutops,kabutops,PokéAPI,https://pokeapi.co/api/v2/pokemon/kabutops,141,2026-07-21 11:17:17.414942+00,0.0.0-dev
aerodactyl,142,aerodactyl,aerodactyl,PokéAPI,https://pokeapi.co/api/v2/pokemon/aerodactyl,142,2026-07-21 11:17:17.414942+00,0.0.0-dev
snorlax,143,snorlax,snorlax,PokéAPI,https://pokeapi.co/api/v2/pokemon/snorlax,143,2026-07-21 11:17:17.414942+00,0.0.0-dev
articuno,144,articuno,articuno,PokéAPI,https://pokeapi.co/api/v2/pokemon/articuno,144,2026-07-21 11:17:17.414942+00,0.0.0-dev
zapdos,145,zapdos,zapdos,PokéAPI,https://pokeapi.co/api/v2/pokemon/zapdos,145,2026-07-21 11:17:17.414942+00,0.0.0-dev
moltres,146,moltres,moltres,PokéAPI,https://pokeapi.co/api/v2/pokemon/moltres,146,2026-07-21 11:17:17.414942+00,0.0.0-dev
dratini,147,dratini,dratini,PokéAPI,https://pokeapi.co/api/v2/pokemon/dratini,147,2026-07-21 11:17:17.414942+00,0.0.0-dev
dragonair,148,dragonair,dragonair,PokéAPI,https://pokeapi.co/api/v2/pokemon/dragonair,148,2026-07-21 11:17:17.414942+00,0.0.0-dev
dragonite,149,dragonite,dragonite,PokéAPI,https://pokeapi.co/api/v2/pokemon/dragonite,149,2026-07-21 11:17:17.414942+00,0.0.0-dev
mewtwo,150,mewtwo,mewtwo,PokéAPI,https://pokeapi.co/api/v2/pokemon/mewtwo,150,2026-07-21 11:17:17.414942+00,0.0.0-dev
mew,151,mew,mew,PokéAPI,https://pokeapi.co/api/v2/pokemon/mew,151,2026-07-21 11:17:17.414942+00,0.0.0-dev
chikorita,152,chikorita,chikorita,PokéAPI,https://pokeapi.co/api/v2/pokemon/chikorita,152,2026-07-21 11:17:17.414942+00,0.0.0-dev
bayleef,153,bayleef,bayleef,PokéAPI,https://pokeapi.co/api/v2/pokemon/bayleef,153,2026-07-21 11:17:17.414942+00,0.0.0-dev
meganium,154,meganium,meganium,PokéAPI,https://pokeapi.co/api/v2/pokemon/meganium,154,2026-07-21 11:17:17.414942+00,0.0.0-dev
cyndaquil,155,cyndaquil,cyndaquil,PokéAPI,https://pokeapi.co/api/v2/pokemon/cyndaquil,155,2026-07-21 11:17:17.414942+00,0.0.0-dev
quilava,156,quilava,quilava,PokéAPI,https://pokeapi.co/api/v2/pokemon/quilava,156,2026-07-21 11:17:17.414942+00,0.0.0-dev
typhlosion,157,typhlosion,typhlosion,PokéAPI,https://pokeapi.co/api/v2/pokemon/typhlosion,157,2026-07-21 11:17:17.414942+00,0.0.0-dev
totodile,158,totodile,totodile,PokéAPI,https://pokeapi.co/api/v2/pokemon/totodile,158,2026-07-21 11:17:17.414942+00,0.0.0-dev
croconaw,159,croconaw,croconaw,PokéAPI,https://pokeapi.co/api/v2/pokemon/croconaw,159,2026-07-21 11:17:17.414942+00,0.0.0-dev
feraligatr,160,feraligatr,feraligatr,PokéAPI,https://pokeapi.co/api/v2/pokemon/feraligatr,160,2026-07-21 11:17:17.414942+00,0.0.0-dev
sentret,161,sentret,sentret,PokéAPI,https://pokeapi.co/api/v2/pokemon/sentret,161,2026-07-21 11:17:17.414942+00,0.0.0-dev
furret,162,furret,furret,PokéAPI,https://pokeapi.co/api/v2/pokemon/furret,162,2026-07-21 11:17:17.414942+00,0.0.0-dev
hoothoot,163,hoothoot,hoothoot,PokéAPI,https://pokeapi.co/api/v2/pokemon/hoothoot,163,2026-07-21 11:17:17.414942+00,0.0.0-dev
noctowl,164,noctowl,noctowl,PokéAPI,https://pokeapi.co/api/v2/pokemon/noctowl,164,2026-07-21 11:17:17.414942+00,0.0.0-dev
ledyba,165,ledyba,ledyba,PokéAPI,https://pokeapi.co/api/v2/pokemon/ledyba,165,2026-07-21 11:17:17.414942+00,0.0.0-dev
ledian,166,ledian,ledian,PokéAPI,https://pokeapi.co/api/v2/pokemon/ledian,166,2026-07-21 11:17:17.414942+00,0.0.0-dev
spinarak,167,spinarak,spinarak,PokéAPI,https://pokeapi.co/api/v2/pokemon/spinarak,167,2026-07-21 11:17:17.414942+00,0.0.0-dev
ariados,168,ariados,ariados,PokéAPI,https://pokeapi.co/api/v2/pokemon/ariados,168,2026-07-21 11:17:17.414942+00,0.0.0-dev
crobat,169,crobat,crobat,PokéAPI,https://pokeapi.co/api/v2/pokemon/crobat,169,2026-07-21 11:17:17.414942+00,0.0.0-dev
chinchou,170,chinchou,chinchou,PokéAPI,https://pokeapi.co/api/v2/pokemon/chinchou,170,2026-07-21 11:17:17.414942+00,0.0.0-dev
lanturn,171,lanturn,lanturn,PokéAPI,https://pokeapi.co/api/v2/pokemon/lanturn,171,2026-07-21 11:17:17.414942+00,0.0.0-dev
pichu,172,pichu,pichu,PokéAPI,https://pokeapi.co/api/v2/pokemon/pichu,172,2026-07-21 11:17:17.414942+00,0.0.0-dev
cleffa,173,cleffa,cleffa,PokéAPI,https://pokeapi.co/api/v2/pokemon/cleffa,173,2026-07-21 11:17:17.414942+00,0.0.0-dev
igglybuff,174,igglybuff,igglybuff,PokéAPI,https://pokeapi.co/api/v2/pokemon/igglybuff,174,2026-07-21 11:17:17.414942+00,0.0.0-dev
togepi,175,togepi,togepi,PokéAPI,https://pokeapi.co/api/v2/pokemon/togepi,175,2026-07-21 11:17:17.414942+00,0.0.0-dev
togetic,176,togetic,togetic,PokéAPI,https://pokeapi.co/api/v2/pokemon/togetic,176,2026-07-21 11:17:17.414942+00,0.0.0-dev
natu,177,natu,natu,PokéAPI,https://pokeapi.co/api/v2/pokemon/natu,177,2026-07-21 11:17:17.414942+00,0.0.0-dev
xatu,178,xatu,xatu,PokéAPI,https://pokeapi.co/api/v2/pokemon/xatu,178,2026-07-21 11:17:17.414942+00,0.0.0-dev
mareep,179,mareep,mareep,PokéAPI,https://pokeapi.co/api/v2/pokemon/mareep,179,2026-07-21 11:17:17.414942+00,0.0.0-dev
flaaffy,180,flaaffy,flaaffy,PokéAPI,https://pokeapi.co/api/v2/pokemon/flaaffy,180,2026-07-21 11:17:17.414942+00,0.0.0-dev
