pokemon_stat_delta_key,pokemon_key,pokemon_id,hp_delta,attack_delta,defense_delta,sp_attack_delta,sp_defense_delta,speed_delta,stat_total_delta,canonical_dataset_version,champions_dataset_version,source_name,source_url,extracted_at_utc,dataset_version
tauros-delta,tauros,128,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
gyarados-delta,gyarados,130,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
ditto-delta,ditto,132,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
vaporeon-delta,vaporeon,134,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
jolteon-delta,jolteon,135,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
flareon-delta,flareon,136,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
aerodactyl-delta,aerodactyl,142,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
snorlax-delta,snorlax,143,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
dragonite-delta,dragonite,149,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
meganium-delta,meganium,154,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
typhlosion-delta,typhlosion,157,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
feraligatr-delta,feraligatr,160,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
ariados-delta,ariados,168,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
ampharos-delta,ampharos,181,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
azumarill-delta,azumarill,184,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
politoed-delta,politoed,186,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
espeon-delta,espeon,196,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
umbreon-delta,umbreon,197,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
slowking-delta,slowking,199,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
forretress-delta,forretress,205,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
steelix-delta,steelix,208,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
qwilfish-delta,qwilfish,211,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
scizor-delta,scizor,212,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
heracross-delta,heracross,214,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
skarmory-delta,skarmory,227,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
houndoom-delta,houndoom,229,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
tyranitar-delta,tyranitar,248,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
sceptile-delta,sceptile,254,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
blaziken-delta,blaziken,257,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
swampert-delta,swampert,260,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
pelipper-delta,pelipper,279,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
gardevoir-delta,gardevoir,282,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
sableye-delta,sableye,302,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
mawile-delta,mawile,303,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
aggron-delta,aggron,306,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
medicham-delta,medicham,308,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
manectric-delta,manectric,310,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
sharpedo-delta,sharpedo,319,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
camerupt-delta,camerupt,323,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
torkoal-delta,torkoal,324,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
altaria-delta,altaria,334,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
milotic-delta,milotic,350,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
castform-delta,castform,351,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
banette-delta,banette,354,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
chimecho-delta,chimecho,358,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
absol-delta,absol,359,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
glalie-delta,glalie,362,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
metagross-delta,metagross,376,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
torterra-delta,torterra,389,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
infernape-delta,infernape,392,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
empoleon-delta,empoleon,395,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
staraptor-delta,staraptor,398,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
luxray-delta,luxray,405,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
roserade-delta,roserade,407,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
rampardos-delta,rampardos,409,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
bastiodon-delta,bastiodon,411,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
lopunny-delta,lopunny,428,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
spiritomb-delta,spiritomb,442,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
garchomp-delta,garchomp,445,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
lucario-delta,lucario,448,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
hippowdon-delta,hippowdon,450,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
toxicroak-delta,toxicroak,454,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
abomasnow-delta,abomasnow,460,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
weavile-delta,weavile,461,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
rhyperior-delta,rhyperior,464,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
leafeon-delta,leafeon,470,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
glaceon-delta,glaceon,471,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
gliscor-delta,gliscor,472,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
mamoswine-delta,mamoswine,473,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
gallade-delta,gallade,475,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
froslass-delta,froslass,478,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
rotom-delta,rotom,479,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
serperior-delta,serperior,497,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
emboar-delta,emboar,500,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
samurott-delta,samurott,503,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
watchog-delta,watchog,505,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
liepard-delta,liepard,510,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
simisage-delta,simisage,512,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
simisear-delta,simisear,514,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
simipour-delta,simipour,516,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
musharna-delta,musharna,518,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
excadrill-delta,excadrill,530,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
audino-delta,audino,531,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
conkeldurr-delta,conkeldurr,534,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
scolipede-delta,scolipede,545,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
whimsicott-delta,whimsicott,547,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
krookodile-delta,krookodile,553,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
scrafty-delta,scrafty,560,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
cofagrigus-delta,cofagrigus,563,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
garbodor-delta,garbodor,569,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
zoroark-delta,zoroark,571,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
reuniclus-delta,reuniclus,579,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
vanilluxe-delta,vanilluxe,584,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
emolga-delta,emolga,587,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
eelektross-delta,eelektross,604,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
chandelure-delta,chandelure,609,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
beartic-delta,beartic,614,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
stunfisk-delta,stunfisk,618,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
golurk-delta,golurk,623,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
hydreigon-delta,hydreigon,635,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
