pokebase_slug,pokeapi_form_name
gallade-mega,gallade-mega
garbodor,garbodor
garchomp,garchomp
garchomp-mega,garchomp-mega
gardevoir,gardevoir
gardevoir-mega,gardevoir-mega
garganacl,garganacl
gengar,gengar
gengar-mega,gengar-mega
gholdengo,gholdengo
glaceon,glaceon
glalie,glalie
glalie-mega,glalie-mega
glimmora,glimmora
glimmora-mega,glimmora-mega
gliscor,gliscor
golurk,golurk
golurk-mega,golurk-mega
goodra,goodra
goodra-hisui,goodra-hisui
gourgeist,gourgeist-average
greninja,greninja
greninja-mega,greninja-mega
grimmsnarl,grimmsnarl
gyarados,gyarados
gyarados-mega,gyarados-mega
hatterene,hatterene
hawlucha,hawlucha
hawlucha-mega,hawlucha-mega
heliolisk,heliolisk
heracross,heracross
heracross-mega,heracross-mega
hippowdon,hippowdon
houndoom,houndoom
houndoom-mega,houndoom-mega
houndstone,houndstone
hydrapple,hydrapple
hydreigon,hydreigon
incineroar,incineroar
infernape,infernape
jolteon,jolteon
kangaskhan,kangaskhan
kangaskhan-mega,kangaskhan-mega
kingambit,kingambit
kleavor,kleavor
klefki,klefki
kommo-o,kommo-o
krookodile,krookodile
leafeon,leafeon
liepard,liepard
lopunny,lopunny
lopunny-mega,lopunny-mega
lucario,lucario
lucario-mega,lucario-mega
luxray,luxray
lycanroc-dusk,lycanroc-dusk
lycanroc-midday,lycanroc-midday
lycanroc-midnight,lycanroc-midnight
machamp,machamp
malamar,malamar
malamar-mega,malamar-mega
mamoswine,mamoswine
manectric,manectric
manectric-mega,manectric-mega
maushold,maushold-family-of-four
mawile,mawile
mawile-mega,mawile-mega
medicham,medicham
medicham-mega,medicham-mega
meganium,meganium
meganium-mega,meganium-mega
meowscarada,meowscarada
meowstic,meowstic-male
meowstic-female,meowstic-female
metagross,metagross
metagross-mega,metagross-mega
milotic,milotic
mimikyu,mimikyu-disguised
morpeko,morpeko-full-belly
mr-rime,mr-rime
mudsdale,mudsdale
musharna,musharna
ninetales,ninetales
ninetales-alola,ninetales-alola
noivern,noivern
oranguru,oranguru
orthworm,orthworm
overqwil,overqwil
palafin,palafin-zero
pangoro,pangoro
passimian,passimian
pelipper,pelipper
pidgeot,pidgeot
pidgeot-mega,pidgeot-mega
pikachu,pikachu
pinsir,pinsir
pinsir-mega,pinsir-mega
politoed,politoed
polteageist,polteageist
primarina,primarina
pyroar,pyroar-male
pyroar-mega,pyroar-mega
quaquaval,quaquaval
qwilfish,qwilfish
raichu,raichu
raichu-alola,raichu-alola
raichu-mega-x,raichu-mega-x
raichu-mega-y,raichu-mega-y
rampardos,rampardos
reuniclus,reuniclus
rhyperior,rhyperior
roserade,roserade
rotom,rotom
rotom-fan,rotom-fan
rotom-frost,rotom-frost
rotom-heat,rotom-heat
rotom-mow,rotom-mow
rotom-wash,rotom-wash
runerigus,runerigus
sableye,sableye
sableye-mega,sableye-mega
salazzle,salazzle
samurott,samurott
samurott-hisui,samurott-hisui
sandaconda,sandaconda
sceptile,sceptile
sceptile-mega,sceptile-mega
scizor,scizor
scizor-mega,scizor-mega
scolipede,scolipede
scolipede-mega,scolipede-mega
scovillain,scovillain
scovillain-mega,scovillain-mega
scrafty,scrafty
scrafty-mega,scrafty-mega
serperior,serperior
sharpedo,sharpedo
sharpedo-mega,sharpedo-mega
simipour,simipour
simisage,simisage
simisear,simisear
sinistcha,sinistcha
skarmory,skarmory
skarmory-mega,skarmory-mega
skeledirge,skeledirge
slowbro,slowbro
slowbro-galar,slowbro-galar
slowbro-mega,slowbro-mega
slowking,slowking
slowking-galar,slowking-galar
slurpuff,slurpuff
sneasler,sneasler
snorlax,snorlax
spiritomb,spiritomb
staraptor,staraptor
staraptor-mega,staraptor-mega
starmie,starmie
starmie-mega,starmie-mega
steelix,steelix
steelix-mega,steelix-mega
stunfisk,stunfisk
stunfisk-galar,stunfisk-galar
swampert,swampert
swampert-mega,swampert-mega
sylveon,sylveon
talonflame,talonflame
tauros,tauros
tauros-paldea-aqua-breed,tauros-paldea-aqua-breed
tauros-paldea-blaze-breed,tauros-paldea-blaze-breed
tinkaton,tinkaton
torkoal,torkoal
torterra,torterra
toucannon,toucannon
toxapex,toxapex
toxicroak,toxicroak
trevenant,trevenant
tsareena,tsareena
typhlosion,typhlosion
typhlosion-hisui,typhlosion-hisui
tyranitar,tyranitar
tyranitar-mega,tyranitar-mega
tyrantrum,tyrantrum
umbreon,umbreon
vanilluxe,vanilluxe
vaporeon,vaporeon
venusaur,venusaur
venusaur-mega,venusaur-mega
victreebel,victreebel
victreebel-mega,victreebel-mega
vileplume,vileplume
vivillon,vivillon
volcarona,volcarona
watchog,watchog
weavile,weavile
whimsicott,whimsicott
wyrdeer,wyrdeer
zoroark,zoroark
zoroark-hisui,zoroark-hisui
