munchstats_pokemon_name,pokeapi_form_name
Decidueye-Hisui,decidueye-hisui
Delphox,delphox
Delphox-Mega,delphox-mega
Dewgong,dewgong
Dialga,dialga
Dialga-Origin,dialga-origin
Dipplin,dipplin
Ditto,ditto
Dodrio,dodrio
Dondozo,dondozo
Dragalge,dragalge
Dragapult,dragapult
Dragonite,dragonite
Dragonite-Mega,dragonite-mega
Drampa,drampa
Drampa-Mega,drampa-mega
Drednaw,drednaw
Drifblim,drifblim
Dudunsparce,dudunsparce-two-segment
Dugtrio,dugtrio
Dugtrio-Alola,dugtrio-alola
Duraludon,duraludon
Dusclops,dusclops
Eelektross,eelektross
Electabuzz,electabuzz
Electivire,electivire
Electrode,electrode
Electrode-Hisui,electrode-hisui
Emboar,emboar
Emboar-Mega,emboar-mega
Emolga,emolga
Empoleon,empoleon
Enamorus,enamorus-incarnate
Enamorus-Therian,enamorus-therian
Entei,entei
Espathra,espathra
Espeon,espeon
Eternatus,eternatus
Excadrill,excadrill
Excadrill-Mega,excadrill-mega
Exeggutor,exeggutor
Exeggutor-Alola,exeggutor-alola
Falinks,falinks
Farigiraf,farigiraf
Feraligatr,feraligatr
Feraligatr-Mega,feraligatr-mega
Fezandipiti,fezandipiti
Flamigo,flamigo
Flareon,flareon
Floatzel,floatzel
Floette-Eternal,floette-eternal
Floette-Mega,floette-mega
Floragato,floragato
Florges,florges
Flutter Mane,flutter-mane
Forretress,forretress
Froslass,froslass
Froslass-Mega,froslass-mega
Frosmoth,frosmoth
Furfrou,furfrou
Furret,furret
Gallade,gallade
Gallade-Mega,gallade-mega
Galvantula,galvantula
Garchomp,garchomp
Garchomp-Mega,garchomp-mega
Gardevoir,gardevoir
Gardevoir-Mega,gardevoir-mega
Garganacl,garganacl
Gastrodon,gastrodon
Gengar,gengar
Gengar-Mega,gengar-mega
Geodude,geodude
Geodude-Alola,geodude-alola
Gholdengo,gholdengo
Girafarig,girafarig
Giratina,giratina-altered
Giratina-Origin,giratina-origin
Glaceon,glaceon
Glalie,glalie
Glalie-Mega,glalie-mega
Glastrier,glastrier
Gligar,gligar
Glimmora,glimmora
Glimmora-Mega,glimmora-mega
Gliscor,gliscor
Gloom,gloom
Gogoat,gogoat
Golduck,golduck
Golem,golem
Golem-Alola,golem-alola
Golurk-Mega,golurk-mega
Goodra,goodra
Goodra-Hisui,goodra-hisui
Gothitelle,gothitelle
Gothorita,gothorita
Gouging Fire,gouging-fire
Grafaiai,grafaiai
Granbull,granbull
Great Tusk,great-tusk
Greninja,greninja
Greninja-Mega,greninja-mega
Grimmsnarl,grimmsnarl
Groudon,groudon
Gyarados,gyarados
Gyarados-Mega,gyarados-mega
Hariyama,hariyama
Hatterene,hatterene
Hawlucha,hawlucha
Hawlucha-Mega,hawlucha-mega
Heatran,heatran
Heliolisk,heliolisk
Heracross,heracross
Heracross-Mega,heracross-mega
Hippowdon,hippowdon
Hitmontop,hitmontop
Ho-Oh,ho-oh
Houndstone,houndstone
Hydrapple,hydrapple
Hydreigon,hydreigon
Illumise,illumise
Incineroar,incineroar
Indeedee,indeedee-male
Indeedee-F,indeedee-female
Infernape,infernape
Inteleon,inteleon
Iron Boulder,iron-boulder
Iron Bundle,iron-bundle
Iron Crown,iron-crown
Iron Hands,iron-hands
Iron Jugulis,iron-jugulis
Iron Leaves,iron-leaves
Iron Moth,iron-moth
Iron Thorns,iron-thorns
Iron Treads,iron-treads
Iron Valiant,iron-valiant
Jolteon,jolteon
Jumpluff,jumpluff
Kangaskhan,kangaskhan
Kangaskhan-Mega,kangaskhan-mega
Kilowattrel,kilowattrel
Kingambit,kingambit
Kingdra,kingdra
Kleavor,kleavor
Klefki,klefki
Kommo-o,kommo-o
Koraidon,koraidon
Krookodile,krookodile
Kyogre,kyogre
Kyurem-Black,kyurem-black
Kyurem-White,kyurem-white
Landorus,landorus-incarnate
Landorus-Therian,landorus-therian
Lanturn,lanturn
Lapras,lapras
Latias,latias
Latios,latios
Leafeon,leafeon
Liepard,liepard
Lilligant,lilligant
Lilligant-Hisui,lilligant-hisui
Lokix,lokix
Lopunny-Mega,lopunny-mega
Lucario,lucario
Lucario-Mega,lucario-mega
Ludicolo,ludicolo
Lugia,lugia
Lumineon,lumineon
Lunala,lunala
Lurantis,lurantis
Luvdisc,luvdisc
Luxray,luxray
Lycanroc,lycanroc-midday
Lycanroc-Dusk,lycanroc-dusk
Lycanroc-Midnight,lycanroc-midnight
Machamp,machamp
Magmar,magmar
Magmortar,magmortar
Magnezone,magnezone
Malamar,malamar
Mamoswine,mamoswine
Mandibuzz,mandibuzz
Manectric,manectric
Manectric-Mega,manectric-mega
Marshtomp,marshtomp
Masquerain,masquerain
Maushold,maushold-family-of-four
Maushold-Three,maushold-family-of-three
Medicham,medicham
Medicham-Mega,medicham-mega
Meganium,meganium
Meganium-Mega,meganium-mega
Meowscarada,meowscarada
Meowstic,meowstic-male
Metagross,metagross
Mewtwo,mewtwo
Mienshao,mienshao
Milotic,milotic
Mimikyu,mimikyu-disguised
Minior,minior-red-meteor
Miraidon,miraidon
Mismagius,mismagius
Moltres,moltres
Moltres-Galar,moltres-galar
Morgrem,morgrem
Morpeko,morpeko-full-belly
Mr. Rime,mr-rime
Mudsdale,mudsdale
Muk-Alola,muk-alola
Munkidori,munkidori
Murkrow,murkrow
Naclstack,naclstack
Necrozma-Dawn-Wings,necrozma-dawn
Necrozma-Dusk-Mane,necrozma-dusk
Ninetales,ninetales
Ninetales-Alola,ninetales-alola
Noivern,noivern
Ogerpon,ogerpon
Ogerpon-Cornerstone,ogerpon-cornerstone-mask
Ogerpon-Hearthflame,ogerpon-hearthflame-mask
Ogerpon-Wellspring,ogerpon-wellspring-mask
Oinkologne-F,oinkologne-female
Okidogi,okidogi
Oranguru,oranguru
Oricorio-Pom-Pom,oricorio-pom-pom
Oricorio-Sensu,oricorio-sensu
Orthworm,orthworm
Overqwil,overqwil
Pachirisu,pachirisu
Palafin,palafin-zero
Palkia,palkia
Palkia-Origin,palkia-origin
Pangoro,pangoro
Passimian,passimian
Pawmot,pawmot
Pelipper,pelipper
Perrserker,perrserker
Persian,persian
Persian-Alola,persian-alola
Phanpy,phanpy
Pikachu,pikachu
Pincurchin,pincurchin
Pinsir-Mega,pinsir-mega
Politoed,politoed
Poliwag,poliwag
Polteageist,polteageist
Porygon-Z,porygon-z
Porygon2,porygon2
Primarina,primarina
Primeape,primeape
Psyduck,psyduck
Pyroar,pyroar-male
Quagsire,quagsire
Quaquaval,quaquaval
Quilava,quilava
Rabsca,rabsca
Raging Bolt,raging-bolt
Raichu,raichu
Raichu-Alola,raichu-alola
Raikou,raikou
Rampardos,rampardos
Rayquaza,rayquaza
Regice,regice
Regidrago,regidrago
Regieleki,regieleki
Regigigas,regigigas
Registeel,registeel
Reshiram,reshiram
Reuniclus,reuniclus
Revavroom,revavroom
Rhydon,rhydon
Rhyperior,rhyperior
Ribombee,ribombee
Rillaboom,rillaboom
Riolu,riolu
Roaring Moon,roaring-moon
Rotom-Fan,rotom-fan
Rotom-Frost,rotom-frost
Rotom-Heat,rotom-heat
Rotom-Mow,rotom-mow
Rotom-Wash,rotom-wash
Runerigus,runerigus
Sableye,sableye
Salamence,salamence
Salazzle,salazzle
Samurott-Hisui,samurott-hisui
Sandaconda,sandaconda
Sandy Shocks,sandy-shocks
Sceptile,sceptile
Scizor,scizor
Scizor-Mega,scizor-mega
Scovillain,scovillain
Scovillain-Mega,scovillain-mega
Scrafty,scrafty
Scraggy,scraggy
Scream Tail,scream-tail
Scyther,scyther
Serperior,serperior
Sharpedo-Mega,sharpedo-mega
Shiftry,shiftry
Simisear,simisear
Sinistcha,sinistcha
Skarmory-Mega,skarmory-mega
Skeledirge,skeledirge
Skiddo,skiddo
Skuntank,skuntank
Slaking,slaking
Sliggoo-Hisui,sliggoo-hisui
Slither Wing,slither-wing
Slowbro,slowbro
Slowbro-Galar,slowbro-galar
Slowbro-Mega,slowbro-mega
Slowking,slowking
Slowking-Galar,slowking-galar
Smeargle,smeargle
Sneasel,sneasel
Sneasel-Hisui,sneasel-hisui
Sneasler,sneasler
Snorlax,snorlax
Snubbull,snubbull
Solgaleo,solgaleo
Spectrier,spectrier
Spewpa,spewpa
Spiritomb,spiritomb
Squawkabilly,squawkabilly-green-plumage
Stantler,stantler
Staraptor,staraptor
Starmie-Mega,starmie-mega
Steelix,steelix
Steelix-Mega,steelix-mega
Stonjourner,stonjourner
Stunfisk,stunfisk
Suicune,suicune
Sunflora,sunflora
Swampert,swampert
Sylveon,sylveon
Talonflame,talonflame
Tandemaus,tandemaus
Tatsugiri,tatsugiri-curly
Tatsugiri-Droopy,tatsugiri-droopy
Tatsugiri-Stretchy,tatsugiri-stretchy
Tauros,tauros
Tauros-Paldea-Aqua,tauros-paldea-aqua-breed
Tauros-Paldea-Blaze,tauros-paldea-blaze-breed
Tauros-Paldea-Combat,tauros-paldea-combat-breed
Terapagos,terapagos
Terrakion,terrakion
Thundurus,thundurus-incarnate
Thundurus-Therian,thundurus-therian
Ting-Lu,ting-lu
Tinkaton,tinkaton
Toedscruel,toedscruel
Torkoal,torkoal
Tornadus,tornadus-incarnate
Tornadus-Therian,tornadus-therian
Torracat,torracat
Torterra,torterra
Toucannon,toucannon
Toxapex,toxapex
Toxicroak,toxicroak
Toxtricity,toxtricity-amped
Toxtricity-Low-Key,toxtricity-low-key
Trapinch,trapinch
Trevenant,trevenant
Tropius,tropius
Tsareena,tsareena
Typhlosion,typhlosion
Typhlosion-Hisui,typhlosion-hisui
Tyranitar,tyranitar
Tyranitar-Mega,tyranitar-mega
Umbreon,umbreon
Ursaluna,ursaluna
Ursaluna-Bloodmoon,ursaluna-bloodmoon
Urshifu,urshifu-single-strike
Urshifu-Rapid-Strike,urshifu-rapid-strike
Uxie,uxie
Vanilluxe,vanilluxe
Vaporeon,vaporeon
Venomoth,venomoth
Venonat,venonat
Venusaur,venusaur
Venusaur-Mega,venusaur-mega
Victreebel-Mega,victreebel-mega
Vikavolt,vikavolt
Vileplume,vileplume
Vivillon,vivillon
Volbeat,volbeat
Volcarona,volcarona
Walking Wake,walking-wake
Wartortle,wartortle
Weavile,weavile
Weezing,weezing
Weezing-Galar,weezing-galar
Whimsicott,whimsicott
Wo-Chien,wo-chien
Wyrdeer,wyrdeer
Yanmega,yanmega
Zacian,zacian
Zamazenta,zamazenta
Zapdos,zapdos
Zapdos-Galar,zapdos-galar
Zebstrika,zebstrika
Zoroark-Hisui,zoroark-hisui
