bulbagarden_title,pokeapi_form_name
File:Menu CP 0323.png,camerupt
File:Menu CP 0324.png,torkoal
File:Menu CP 0334-Mega.png,altaria-mega
File:Menu CP 0334.png,altaria
File:Menu CP 0350.png,milotic
File:Menu CP 0351-Rainy.png,castform-rainy
File:Menu CP 0351-Snowy.png,castform-snowy
File:Menu CP 0351-Sunny.png,castform-sunny
File:Menu CP 0351.png,castform
File:Menu CP 0354-Mega.png,banette-mega
File:Menu CP 0354.png,banette
File:Menu CP 0358-Mega.png,chimecho-mega
File:Menu CP 0358.png,chimecho
File:Menu CP 0359-Mega.png,absol-mega
File:Menu CP 0359.png,absol
File:Menu CP 0362-Mega.png,glalie-mega
File:Menu CP 0362.png,glalie
File:Menu CP 0376-Mega.png,metagross-mega
File:Menu CP 0376.png,metagross
File:Menu CP 0389.png,torterra
File:Menu CP 0392.png,infernape
File:Menu CP 0395.png,empoleon
File:Menu CP 0398-Mega.png,staraptor-mega
File:Menu CP 0398.png,staraptor
File:Menu CP 0405.png,luxray
File:Menu CP 0407.png,roserade
File:Menu CP 0409.png,rampardos
File:Menu CP 0411.png,bastiodon
File:Menu CP 0428-Mega.png,lopunny-mega
File:Menu CP 0428.png,lopunny
File:Menu CP 0442.png,spiritomb
File:Menu CP 0445-Mega.png,garchomp-mega
File:Menu CP 0445.png,garchomp
File:Menu CP 0448-Mega.png,lucario-mega
File:Menu CP 0448.png,lucario
File:Menu CP 0450.png,hippowdon
File:Menu CP 0454.png,toxicroak
File:Menu CP 0460-Mega.png,abomasnow-mega
File:Menu CP 0460.png,abomasnow
File:Menu CP 0461.png,weavile
File:Menu CP 0464.png,rhyperior
File:Menu CP 0470.png,leafeon
File:Menu CP 0471.png,glaceon
File:Menu CP 0472.png,gliscor
File:Menu CP 0473.png,mamoswine
File:Menu CP 0475-Mega.png,gallade-mega
File:Menu CP 0475.png,gallade
File:Menu CP 0478-Mega.png,froslass-mega
File:Menu CP 0478.png,froslass
File:Menu CP 0479-Fan.png,rotom-fan
File:Menu CP 0479-Frost.png,rotom-frost
File:Menu CP 0479-Heat.png,rotom-heat
File:Menu CP 0479-Mow.png,rotom-mow
File:Menu CP 0479-Wash.png,rotom-wash
File:Menu CP 0479.png,rotom
File:Menu CP 0497.png,serperior
File:Menu CP 0500-Mega.png,emboar-mega
File:Menu CP 0500.png,emboar
File:Menu CP 0503-Hisui.png,samurott-hisui
File:Menu CP 0503.png,samurott
File:Menu CP 0505.png,watchog
File:Menu CP 0510.png,liepard
File:Menu CP 0512.png,simisage
File:Menu CP 0514.png,simisear
File:Menu CP 0516.png,simipour
File:Menu CP 0518.png,musharna
File:Menu CP 0530-Mega.png,excadrill-mega
File:Menu CP 0530.png,excadrill
File:Menu CP 0531-Mega.png,audino-mega
File:Menu CP 0531.png,audino
File:Menu CP 0534.png,conkeldurr
File:Menu CP 0545-Mega.png,scolipede-mega
File:Menu CP 0545.png,scolipede
File:Menu CP 0547.png,whimsicott
File:Menu CP 0553.png,krookodile
File:Menu CP 0560-Mega.png,scrafty-mega
File:Menu CP 0560.png,scrafty
File:Menu CP 0563.png,cofagrigus
File:Menu CP 0569.png,garbodor
File:Menu CP 0571-Hisui.png,zoroark-hisui
File:Menu CP 0571.png,zoroark
File:Menu CP 0579.png,reuniclus
File:Menu CP 0584.png,vanilluxe
File:Menu CP 0587.png,emolga
File:Menu CP 0604-Mega.png,eelektross-mega
File:Menu CP 0604.png,eelektross
File:Menu CP 0609-Mega.png,chandelure-mega
File:Menu CP 0609.png,chandelure
File:Menu CP 0614.png,beartic
File:Menu CP 0618-Galar.png,stunfisk-galar
File:Menu CP 0618.png,stunfisk
File:Menu CP 0623-Mega.png,golurk-mega
File:Menu CP 0623.png,golurk
File:Menu CP 0635.png,hydreigon
File:Menu CP 0637.png,volcarona
File:Menu CP 0652-Mega.png,chesnaught-mega
File:Menu CP 0652.png,chesnaught
File:Menu CP 0655-Mega.png,delphox-mega
File:Menu CP 0655.png,delphox
File:Menu CP 0658-Mega.png,greninja-mega
File:Menu CP 0658.png,greninja
File:Menu CP 0660.png,diggersby
File:Menu CP 0663.png,talonflame
File:Menu CP 0666-Archipelago.png,vivillon
File:Menu CP 0666-Continental.png,vivillon
File:Menu CP 0666-Elegant.png,vivillon
File:Menu CP 0666-Fancy.png,vivillon
File:Menu CP 0666-Garden.png,vivillon
File:Menu CP 0666-High Plains.png,vivillon
File:Menu CP 0666-Icy Snow.png,vivillon
File:Menu CP 0666-Jungle.png,vivillon
File:Menu CP 0666-Marine.png,vivillon
File:Menu CP 0666-Modern.png,vivillon
File:Menu CP 0666-Monsoon.png,vivillon
File:Menu CP 0666-Ocean.png,vivillon
File:Menu CP 0666-Poké Ball.png,vivillon
File:Menu CP 0666-Polar.png,vivillon
File:Menu CP 0666-River.png,vivillon
File:Menu CP 0666-Sandstorm.png,vivillon
File:Menu CP 0666-Savanna.png,vivillon
File:Menu CP 0666-Sun.png,vivillon
File:Menu CP 0666-Tundra.png,vivillon
File:Menu CP 0666.png,vivillon
File:Menu CP 0668-Female.png,pyroar-male
File:Menu CP 0668-Mega.png,pyroar-mega
File:Menu CP 0668.png,pyroar-male
File:Menu CP 0670-Eternal.png,floette-eternal
File:Menu CP 0670-Mega.png,floette-mega
File:Menu CP 0671-Blue.png,florges
File:Menu CP 0671-Orange.png,florges
File:Menu CP 0671-White.png,florges
File:Menu CP 0671-Yellow.png,florges
File:Menu CP 0671.png,florges
File:Menu CP 0675.png,pangoro
File:Menu CP 0676-Dandy.png,furfrou
File:Menu CP 0676-Debutante.png,furfrou
File:Menu CP 0676-Diamond.png,furfrou
File:Menu CP 0676-Heart.png,furfrou
File:Menu CP 0676-Kabuki.png,furfrou
File:Menu CP 0676-La Reine.png,furfrou
File:Menu CP 0676-Matron.png,furfrou
File:Menu CP 0676-Pharaoh.png,furfrou
File:Menu CP 0676-Star.png,furfrou
File:Menu CP 0676.png,furfrou
File:Menu CP 0678-Female.png,meowstic-female
File:Menu CP 0678.png,meowstic-male
File:Menu CP 0681-Blade.png,aegislash-blade
File:Menu CP 0681.png,aegislash-shield
File:Menu CP 0683.png,aromatisse
File:Menu CP 0685.png,slurpuff
File:Menu CP 0687-Mega.png,malamar-mega
File:Menu CP 0687.png,malamar
File:Menu CP 0689-Mega.png,barbaracle-mega
File:Menu CP 0689.png,barbaracle
File:Menu CP 0691-Mega.png,dragalge-mega
File:Menu CP 0691.png,dragalge
File:Menu CP 0693.png,clawitzer
File:Menu CP 0695.png,heliolisk
File:Menu CP 0697.png,tyrantrum
File:Menu CP 0699.png,aurorus
File:Menu CP 0700.png,sylveon
File:Menu CP 0701-Mega.png,hawlucha-mega
File:Menu CP 0701.png,hawlucha
File:Menu CP 0702.png,dedenne
File:Menu CP 0706-Hisui.png,goodra-hisui
File:Menu CP 0706.png,goodra
File:Menu CP 0707.png,klefki
File:Menu CP 0709.png,trevenant
File:Menu CP 0711-Jumbo.png,gourgeist-super
File:Menu CP 0711-Large.png,gourgeist-large
File:Menu CP 0711-Small.png,gourgeist-small
File:Menu CP 0711.png,gourgeist-average
File:Menu CP 0713-Hisui.png,avalugg-hisui
File:Menu CP 0713.png,avalugg
File:Menu CP 0715.png,noivern
File:Menu CP 0724-Hisui.png,decidueye-hisui
File:Menu CP 0724.png,decidueye
File:Menu CP 0727.png,incineroar
File:Menu CP 0730.png,primarina
File:Menu CP 0733.png,toucannon
File:Menu CP 0740-Mega.png,crabominable-mega
File:Menu CP 0740.png,crabominable
File:Menu CP 0745-Dusk.png,lycanroc-dusk
File:Menu CP 0745-Midnight.png,lycanroc-midnight
File:Menu CP 0745.png,lycanroc-midday
File:Menu CP 0748.png,toxapex
File:Menu CP 0750.png,mudsdale
File:Menu CP 0752.png,araquanid
File:Menu CP 0758.png,salazzle
File:Menu CP 0763.png,tsareena
File:Menu CP 0765.png,oranguru
File:Menu CP 0766.png,passimian
File:Menu CP 0778.png,mimikyu-disguised
File:Menu CP 0780-Mega.png,drampa-mega
File:Menu CP 0780.png,drampa
File:Menu CP 0784.png,kommo-o
File:Menu CP 0823.png,corviknight
File:Menu CP 0841.png,flapple
File:Menu CP 0842.png,appletun
File:Menu CP 0844.png,sandaconda
File:Menu CP 0855.png,polteageist
File:Menu CP 0858.png,hatterene
File:Menu CP 0861.png,grimmsnarl
File:Menu CP 0866.png,mr-rime
File:Menu CP 0867.png,runerigus
File:Menu CP 0869-Caramel Swirl.png,alcremie
File:Menu CP 0869-Lemon Cream.png,alcremie
File:Menu CP 0869-Matcha Cream.png,alcremie
File:Menu CP 0869-Mint Cream.png,alcremie
File:Menu CP 0869-Rainbow Swirl.png,alcremie
File:Menu CP 0869-Ruby Cream.png,alcremie
File:Menu CP 0869-Ruby Swirl.png,alcremie
File:Menu CP 0869-Salted Cream.png,alcremie
File:Menu CP 0869.png,alcremie
File:Menu CP 0870-Mega.png,falinks-mega
File:Menu CP 0870.png,falinks
File:Menu CP 0877-Hangry.png,morpeko-hangry
File:Menu CP 0877.png,morpeko-full-belly
File:Menu CP 0887.png,dragapult
File:Menu CP 0899.png,wyrdeer
File:Menu CP 0900.png,kleavor
File:Menu CP 0902-Female.png,basculegion-female
File:Menu CP 0902.png,basculegion-male
File:Menu CP 0903.png,sneasler
File:Menu CP 0904.png,overqwil
File:Menu CP 0908.png,meowscarada
File:Menu CP 0911.png,skeledirge
File:Menu CP 0914.png,quaquaval
File:Menu CP 0923.png,pawmot
File:Menu CP 0925-Three.png,maushold-family-of-three
File:Menu CP 0925.png,maushold-family-of-four
File:Menu CP 0934.png,garganacl
File:Menu CP 0936.png,armarouge
File:Menu CP 0937.png,ceruledge
File:Menu CP 0939.png,bellibolt
File:Menu CP 0952-Mega.png,scovillain-mega
File:Menu CP 0952.png,scovillain
File:Menu CP 0956.png,espathra
File:Menu CP 0959.png,tinkaton
File:Menu CP 0964-Hero.png,palafin-hero
File:Menu CP 0964.png,palafin-zero
File:Menu CP 0968.png,orthworm
File:Menu CP 0970-Mega.png,glimmora-mega
File:Menu CP 0970.png,glimmora
File:Menu CP 0972.png,houndstone
File:Menu CP 0979.png,annihilape
File:Menu CP 0981.png,farigiraf
File:Menu CP 0983.png,kingambit
File:Menu CP 1000.png,gholdengo
File:Menu CP 1013.png,sinistcha
File:Menu CP 1018.png,archaludon
File:Menu CP 1019.png,hydrapple
