pokemon_id,pokemon_name,form_name,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
17,pidgeotto,pidgeotto,63,60,55,50,50,71,349,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeotto,17,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
18,pidgeot,pidgeot,83,80,75,70,70,101,479,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeot,18,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
19,rattata,rattata,30,56,35,25,35,72,253,PokéAPI,https://pokeapi.co/api/v2/pokemon/rattata,19,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
20,raticate,raticate,55,81,60,50,70,97,413,PokéAPI,https://pokeapi.co/api/v2/pokemon/raticate,20,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
21,spearow,spearow,40,60,30,31,31,70,262,PokéAPI,https://pokeapi.co/api/v2/pokemon/spearow,21,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
22,fearow,fearow,65,90,65,61,61,100,442,PokéAPI,https://pokeapi.co/api/v2/pokemon/fearow,22,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
23,ekans,ekans,35,60,44,40,54,55,288,PokéAPI,https://pokeapi.co/api/v2/pokemon/ekans,23,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
24,arbok,arbok,60,95,69,65,79,80,448,PokéAPI,https://pokeapi.co/api/v2/pokemon/arbok,24,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
25,pikachu,pikachu,35,55,40,50,50,90,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/pikachu,25,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
26,raichu,raichu,60,90,55,90,80,110,485,PokéAPI,https://pokeapi.co/api/v2/pokemon/raichu,26,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
27,sandshrew,sandshrew,50,75,85,20,30,40,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandshrew,27,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
28,sandslash,sandslash,75,100,110,45,55,65,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandslash,28,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
29,nidoran-f,nidoran-f,55,47,52,40,40,41,275,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-f,29,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
30,nidorina,nidorina,70,62,67,55,55,56,365,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidorina,30,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
31,nidoqueen,nidoqueen,90,92,87,75,85,76,505,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoqueen,31,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
32,nidoran-m,nidoran-m,46,57,40,40,40,50,273,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-m,32,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
33,nidorino,nidorino,61,72,57,55,55,65,365,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidorino,33,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
34,nidoking,nidoking,81,102,77,85,75,85,505,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoking,34,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
35,clefairy,clefairy,70,45,48,60,65,35,323,PokéAPI,https://pokeapi.co/api/v2/pokemon/clefairy,35,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
36,clefable,clefable,95,70,73,95,90,60,483,PokéAPI,https://pokeapi.co/api/v2/pokemon/clefable,36,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
37,vulpix,vulpix,38,41,40,50,65,65,299,PokéAPI,https://pokeapi.co/api/v2/pokemon/vulpix,37,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
38,ninetales,ninetales,73,76,75,81,100,100,505,PokéAPI,https://pokeapi.co/api/v2/pokemon/ninetales,38,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
39,jigglypuff,jigglypuff,115,45,20,45,25,20,270,PokéAPI,https://pokeapi.co/api/v2/pokemon/jigglypuff,39,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
40,wigglytuff,wigglytuff,140,70,45,85,50,45,435,PokéAPI,https://pokeapi.co/api/v2/pokemon/wigglytuff,40,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
41,zubat,zubat,40,45,35,30,40,55,245,PokéAPI,https://pokeapi.co/api/v2/pokemon/zubat,41,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
42,golbat,golbat,75,80,70,65,75,90,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/golbat,42,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
43,oddish,oddish,45,50,55,75,65,30,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/oddish,43,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
44,gloom,gloom,60,65,70,85,75,40,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/gloom,44,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
45,vileplume,vileplume,75,80,85,110,90,50,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/vileplume,45,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
46,paras,paras,35,70,55,45,55,25,285,PokéAPI,https://pokeapi.co/api/v2/pokemon/paras,46,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
47,parasect,parasect,60,95,80,60,80,30,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/parasect,47,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
48,venonat,venonat,60,55,50,40,55,45,305,PokéAPI,https://pokeapi.co/api/v2/pokemon/venonat,48,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
49,venomoth,venomoth,70,65,60,90,75,90,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/venomoth,49,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
50,diglett,diglett,10,55,25,35,45,95,265,PokéAPI,https://pokeapi.co/api/v2/pokemon/diglett,50,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
51,dugtrio,dugtrio,35,100,50,50,70,120,425,PokéAPI,https://pokeapi.co/api/v2/pokemon/dugtrio,51,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
52,meowth,meowth,40,45,35,40,40,90,290,PokéAPI,https://pokeapi.co/api/v2/pokemon/meowth,52,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
53,persian,persian,65,70,60,65,65,115,440,PokéAPI,https://pokeapi.co/api/v2/pokemon/persian,53,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
54,psyduck,psyduck,50,52,48,65,50,55,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/psyduck,54,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
55,golduck,golduck,80,82,78,95,80,85,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/golduck,55,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
56,mankey,mankey,40,80,35,35,45,70,305,PokéAPI,https://pokeapi.co/api/v2/pokemon/mankey,56,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
57,primeape,primeape,65,105,60,60,70,95,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/primeape,57,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
58,growlithe,growlithe,55,70,45,70,50,60,350,PokéAPI,https://pokeapi.co/api/v2/pokemon/growlithe,58,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
59,arcanine,arcanine,90,110,80,100,80,95,555,PokéAPI,https://pokeapi.co/api/v2/pokemon/arcanine,59,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
60,poliwag,poliwag,40,50,40,40,40,90,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwag,60,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
61,poliwhirl,poliwhirl,65,65,65,50,50,90,385,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwhirl,61,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
62,poliwrath,poliwrath,90,95,95,70,90,70,510,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwrath,62,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
63,abra,abra,25,20,15,105,55,90,310,PokéAPI,https://pokeapi.co/api/v2/pokemon/abra,63,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
64,kadabra,kadabra,40,35,30,120,70,105,400,PokéAPI,https://pokeapi.co/api/v2/pokemon/kadabra,64,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
65,alakazam,alakazam,55,50,45,135,95,120,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/alakazam,65,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
66,machop,machop,70,80,50,35,35,35,305,PokéAPI,https://pokeapi.co/api/v2/pokemon/machop,66,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
67,machoke,machoke,80,100,70,50,60,45,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/machoke,67,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
68,machamp,machamp,90,130,80,65,85,55,505,PokéAPI,https://pokeapi.co/api/v2/pokemon/machamp,68,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
69,bellsprout,bellsprout,50,75,35,70,30,40,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/bellsprout,69,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
70,weepinbell,weepinbell,65,90,50,85,45,55,390,PokéAPI,https://pokeapi.co/api/v2/pokemon/weepinbell,70,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
71,victreebel,victreebel,80,105,65,100,70,70,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/victreebel,71,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
72,tentacool,tentacool,40,40,35,50,100,70,335,PokéAPI,https://pokeapi.co/api/v2/pokemon/tentacool,72,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
73,tentacruel,tentacruel,80,70,65,80,120,100,515,PokéAPI,https://pokeapi.co/api/v2/pokemon/tentacruel,73,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
74,geodude,geodude,40,80,100,30,30,20,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/geodude,74,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
75,graveler,graveler,55,95,115,45,45,35,390,PokéAPI,https://pokeapi.co/api/v2/pokemon/graveler,75,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
76,golem,golem,80,120,130,55,65,45,495,PokéAPI,https://pokeapi.co/api/v2/pokemon/golem,76,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
77,ponyta,ponyta,50,85,55,65,65,90,410,PokéAPI,https://pokeapi.co/api/v2/pokemon/ponyta,77,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
78,rapidash,rapidash,65,100,70,80,80,105,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/rapidash,78,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
79,slowpoke,slowpoke,90,65,65,40,40,15,315,PokéAPI,https://pokeapi.co/api/v2/pokemon/slowpoke,79,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
80,slowbro,slowbro,95,75,110,100,80,30,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/slowbro,80,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
81,magnemite,magnemite,25,35,70,95,55,45,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/magnemite,81,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
82,magneton,magneton,50,60,95,120,70,70,465,PokéAPI,https://pokeapi.co/api/v2/pokemon/magneton,82,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
83,farfetchd,farfetchd,52,90,55,58,62,60,377,PokéAPI,https://pokeapi.co/api/v2/pokemon/farfetchd,83,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
84,doduo,doduo,35,85,45,35,35,75,310,PokéAPI,https://pokeapi.co/api/v2/pokemon/doduo,84,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
85,dodrio,dodrio,60,110,70,60,60,110,470,PokéAPI,https://pokeapi.co/api/v2/pokemon/dodrio,85,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
86,seel,seel,65,45,55,45,70,45,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/seel,86,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
87,dewgong,dewgong,90,70,80,70,95,70,475,PokéAPI,https://pokeapi.co/api/v2/pokemon/dewgong,87,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
88,grimer,grimer,80,80,50,40,50,25,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/grimer,88,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
89,muk,muk,105,105,75,65,100,50,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/muk,89,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
90,shellder,shellder,30,65,100,45,25,40,305,PokéAPI,https://pokeapi.co/api/v2/pokemon/shellder,90,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
91,cloyster,cloyster,50,95,180,85,45,70,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/cloyster,91,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
92,gastly,gastly,30,35,30,100,35,80,310,PokéAPI,https://pokeapi.co/api/v2/pokemon/gastly,92,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
93,haunter,haunter,45,50,45,115,55,95,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/haunter,93,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
94,gengar,gengar,60,65,60,130,75,110,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/gengar,94,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
95,onix,onix,35,45,160,30,45,70,385,PokéAPI,https://pokeapi.co/api/v2/pokemon/onix,95,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
96,drowzee,drowzee,60,48,45,43,90,42,328,PokéAPI,https://pokeapi.co/api/v2/pokemon/drowzee,96,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
97,hypno,hypno,85,73,70,73,115,67,483,PokéAPI,https://pokeapi.co/api/v2/pokemon/hypno,97,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
98,krabby,krabby,30,105,90,25,25,50,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/krabby,98,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
99,kingler,kingler,55,130,115,50,50,75,475,PokéAPI,https://pokeapi.co/api/v2/pokemon/kingler,99,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
100,voltorb,voltorb,40,30,50,55,55,100,330,PokéAPI,https://pokeapi.co/api/v2/pokemon/voltorb,100,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
101,electrode,electrode,60,50,70,80,80,150,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/electrode,101,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
102,exeggcute,exeggcute,60,40,80,60,45,40,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/exeggcute,102,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
103,exeggutor,exeggutor,95,95,85,125,75,55,530,PokéAPI,https://pokeapi.co/api/v2/pokemon/exeggutor,103,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
104,cubone,cubone,50,50,95,40,50,35,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/cubone,104,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
105,marowak,marowak,60,80,110,50,80,45,425,PokéAPI,https://pokeapi.co/api/v2/pokemon/marowak,105,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
106,hitmonlee,hitmonlee,50,120,53,35,110,87,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/hitmonlee,106,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
107,hitmonchan,hitmonchan,50,105,79,35,110,76,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/hitmonchan,107,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
108,lickitung,lickitung,90,55,75,60,75,30,385,PokéAPI,https://pokeapi.co/api/v2/pokemon/lickitung,108,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
109,koffing,koffing,40,65,95,60,45,35,340,PokéAPI,https://pokeapi.co/api/v2/pokemon/koffing,109,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
110,weezing,weezing,65,90,120,85,70,60,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/weezing,110,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
111,rhyhorn,rhyhorn,80,85,95,30,30,25,345,PokéAPI,https://pokeapi.co/api/v2/pokemon/rhyhorn,111,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
112,rhydon,rhydon,105,130,120,45,45,40,485,PokéAPI,https://pokeapi.co/api/v2/pokemon/rhydon,112,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
113,chansey,chansey,250,5,5,35,105,50,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/chansey,113,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
114,tangela,tangela,65,55,115,100,40,60,435,PokéAPI,https://pokeapi.co/api/v2/pokemon/tangela,114,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
115,kangaskhan,kangaskhan,105,95,80,40,80,90,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/kangaskhan,115,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
116,horsea,horsea,30,40,70,70,25,60,295,PokéAPI,https://pokeapi.co/api/v2/pokemon/horsea,116,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
117,seadra,seadra,55,65,95,95,45,85,440,PokéAPI,https://pokeapi.co/api/v2/pokemon/seadra,117,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
118,goldeen,goldeen,45,67,60,35,50,63,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/goldeen,118,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
119,seaking,seaking,80,92,65,65,80,68,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/seaking,119,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
120,staryu,staryu,30,45,55,70,55,85,340,PokéAPI,https://pokeapi.co/api/v2/pokemon/staryu,120,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
121,starmie,starmie,60,75,85,100,85,115,520,PokéAPI,https://pokeapi.co/api/v2/pokemon/starmie,121,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
122,mr-mime,mr-mime,40,45,65,100,120,90,460,PokéAPI,https://pokeapi.co/api/v2/pokemon/mr-mime,122,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
123,scyther,scyther,70,110,80,55,80,105,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/scyther,123,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
124,jynx,jynx,65,50,35,115,95,95,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/jynx,124,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
125,electabuzz,electabuzz,65,83,57,95,85,105,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/electabuzz,125,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
126,magmar,magmar,65,95,57,100,85,93,495,PokéAPI,https://pokeapi.co/api/v2/pokemon/magmar,126,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
127,pinsir,pinsir,65,125,100,55,70,85,500,PokéAPI,https://pokeapi.co/api/v2/pokemon/pinsir,127,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
128,tauros,tauros,75,100,95,40,70,110,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/tauros,128,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
129,magikarp,magikarp,20,10,55,15,20,80,200,PokéAPI,https://pokeapi.co/api/v2/pokemon/magikarp,129,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
130,gyarados,gyarados,95,125,79,60,100,81,540,PokéAPI,https://pokeapi.co/api/v2/pokemon/gyarados,130,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
131,lapras,lapras,130,85,80,85,95,60,535,PokéAPI,https://pokeapi.co/api/v2/pokemon/lapras,131,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
132,ditto,ditto,48,48,48,48,48,48,288,PokéAPI,https://pokeapi.co/api/v2/pokemon/ditto,132,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
133,eevee,eevee,55,55,50,45,65,55,325,PokéAPI,https://pokeapi.co/api/v2/pokemon/eevee,133,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
134,vaporeon,vaporeon,130,65,60,110,95,65,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/vaporeon,134,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
135,jolteon,jolteon,65,65,60,110,95,130,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/jolteon,135,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
136,flareon,flareon,65,130,60,95,110,65,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/flareon,136,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
137,porygon,porygon,65,60,70,85,75,40,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/porygon,137,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
138,omanyte,omanyte,35,40,100,90,55,35,355,PokéAPI,https://pokeapi.co/api/v2/pokemon/omanyte,138,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
139,omastar,omastar,70,60,125,115,70,55,495,PokéAPI,https://pokeapi.co/api/v2/pokemon/omastar,139,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
140,kabuto,kabuto,30,80,90,55,45,55,355,PokéAPI,https://pokeapi.co/api/v2/pokemon/kabuto,140,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
141,kabutops,kabutops,60,115,105,65,70,80,495,PokéAPI,https://pokeapi.co/api/v2/pokemon/kabutops,141,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
142,aerodactyl,aerodactyl,80,105,65,60,75,130,515,PokéAPI,https://pokeapi.co/api/v2/pokemon/aerodactyl,142,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
143,snorlax,snorlax,160,110,65,65,110,30,540,PokéAPI,https://pokeapi.co/api/v2/pokemon/snorlax,143,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
144,articuno,articuno,90,85,100,95,125,85,580,PokéAPI,https://pokeapi.co/api/v2/pokemon/articuno,144,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
145,zapdos,zapdos,90,90,85,125,90,100,580,PokéAPI,https://pokeapi.co/api/v2/pokemon/zapdos,145,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
146,moltres,moltres,90,100,90,125,85,90,580,PokéAPI,https://pokeapi.co/api/v2/pokemon/moltres,146,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
147,dratini,dratini,41,64,45,50,50,50,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/dratini,147,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
148,dragonair,dragonair,61,84,65,70,70,70,420,PokéAPI,https://pokeapi.co/api/v2/pokemon/dragonair,148,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
149,dragonite,dragonite,91,134,95,100,100,80,600,PokéAPI,https://pokeapi.co/api/v2/pokemon/dragonite,149,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
150,mewtwo,mewtwo,106,110,90,154,90,130,680,PokéAPI,https://pokeapi.co/api/v2/pokemon/mewtwo,150,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
151,mew,mew,100,100,100,100,100,100,600,PokéAPI,https://pokeapi.co/api/v2/pokemon/mew,151,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
152,chikorita,chikorita,45,49,65,49,65,45,318,PokéAPI,https://pokeapi.co/api/v2/pokemon/chikorita,152,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
153,bayleef,bayleef,60,62,80,63,80,60,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/bayleef,153,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
154,meganium,meganium,80,82,100,83,100,80,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/meganium,154,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
155,cyndaquil,cyndaquil,39,52,43,60,50,65,309,PokéAPI,https://pokeapi.co/api/v2/pokemon/cyndaquil,155,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
156,quilava,quilava,58,64,58,80,65,80,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/quilava,156,2026-07-18T17:21:32.693897+00:00,0.0.0-dev
