pokemon_id,pokemon_name,form_name,is_legal,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,regulation_code,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
,Alolan Raichu,Alolan Raichu,True,60,85,50,95,85,110,485,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/raichu-alolan,raichu-alolan,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Raichu,Mega Raichu X,True,60,135,95,90,95,110,585,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-raichu-x,mega-raichu-x,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Raichu,Mega Raichu Y,True,60,100,55,160,80,130,585,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-raichu-y,mega-raichu-y,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
36,Clefable,Clefable,True,95,70,73,95,90,60,483,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/clefable,clefable,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Clefable,Mega Clefable,True,95,80,93,135,110,70,583,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-clefable,mega-clefable,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
38,Ninetales,Ninetales,True,73,76,75,81,100,100,505,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/ninetales,ninetales,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Alolan Ninetales,Alolan Ninetales,True,73,67,75,81,100,109,505,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/ninetales-alolan,ninetales-alolan,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
45,Vileplume,Vileplume,True,75,80,85,110,90,50,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/vileplume,vileplume,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
45,Vileplume (Female),Vileplume (Female),True,75,80,85,110,90,50,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/vileplume-female,vileplume-female,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
59,Arcanine,Arcanine,True,90,110,80,100,80,95,555,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/arcanine,arcanine,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Arcanine,Arcanine,True,95,115,80,95,80,90,555,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/arcanine-hisui,arcanine-hisui,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
65,Alakazam,Alakazam,True,55,50,45,135,95,120,500,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/alakazam,alakazam,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Alakazam,Mega Alakazam,True,55,50,65,175,105,150,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-alakazam,mega-alakazam,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
68,Machamp,Machamp,True,90,130,80,65,85,55,505,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/machamp,machamp,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
71,Victreebel,Victreebel,True,80,105,65,100,70,70,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/victreebel,victreebel,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Victreebel,Mega Victreebel,True,80,125,85,135,95,70,590,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-victreebel,mega-victreebel,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
80,Slowbro,Slowbro,True,95,75,110,100,80,30,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/slowbro,slowbro,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Galarian Slowbro,Galarian Slowbro,True,95,100,95,100,70,30,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/slowbro-galarian,slowbro-galarian,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Slowbro,Mega Slowbro,True,95,75,180,130,80,30,590,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-slowbro,mega-slowbro,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
94,Gengar,Gengar,True,60,65,60,130,75,110,500,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/gengar,gengar,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Gengar,Mega Gengar,True,60,65,80,170,95,130,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-gengar,mega-gengar,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
115,Kangaskhan,Kangaskhan,True,105,95,80,40,80,90,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/kangaskhan,kangaskhan,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Kangaskhan,Mega Kangaskhan,True,105,125,100,60,100,100,590,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-kangaskhan,mega-kangaskhan,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
121,Starmie,Starmie,True,60,75,85,100,85,115,520,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/starmie,starmie,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Starmie,Mega Starmie,True,60,100,105,130,105,120,620,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-starmie,mega-starmie,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
127,Pinsir,Pinsir,True,65,125,100,55,70,85,500,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/pinsir,pinsir,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Pinsir,Mega Pinsir,True,65,155,120,65,90,105,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-pinsir,mega-pinsir,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
128,Tauros,Tauros,True,75,100,95,40,70,110,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/tauros,tauros,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Paldean Tauros (Combat Breed),Paldean Tauros (Combat Breed),True,75,110,105,30,70,100,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/tauros-paldean-combat,tauros-paldean-combat,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Paldean Tauros (Blaze Breed),Paldean Tauros (Blaze Breed),True,75,110,105,30,70,100,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/tauros-paldean-blaze,tauros-paldean-blaze,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Paldean Tauros (Aqua Breed),Paldean Tauros (Aqua Breed),True,75,110,105,30,70,100,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/tauros-paldean-aqua,tauros-paldean-aqua,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
130,Gyarados,Gyarados,True,95,125,79,60,100,81,540,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/gyarados,gyarados,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Gyarados,Mega Gyarados,True,95,155,109,70,130,81,640,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-gyarados,mega-gyarados,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
132,Ditto,Ditto,True,48,48,48,48,48,48,288,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/ditto,ditto,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
134,Vaporeon,Vaporeon,True,130,65,60,110,95,65,525,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/vaporeon,vaporeon,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
135,Jolteon,Jolteon,True,65,65,60,110,95,130,525,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/jolteon,jolteon,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
136,Flareon,Flareon,True,65,130,60,95,110,65,525,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/flareon,flareon,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
142,Aerodactyl,Aerodactyl,True,80,105,65,60,75,130,515,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/aerodactyl,aerodactyl,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Aerodactyl,Mega Aerodactyl,True,80,135,85,70,95,150,615,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-aerodactyl,mega-aerodactyl,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
143,Snorlax,Snorlax,True,160,110,65,65,110,30,540,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/snorlax,snorlax,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
149,Dragonite,Dragonite,True,91,134,95,100,100,80,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/dragonite,dragonite,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Dragonite,Mega Dragonite,True,91,124,115,145,125,100,700,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-dragonite,mega-dragonite,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
154,Meganium,Meganium,True,80,82,100,83,100,80,525,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/meganium,meganium,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Meganium,Mega Meganium,True,80,92,115,143,115,80,625,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-meganium,mega-meganium,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
157,Typhlosion,Typhlosion,True,78,84,78,109,85,100,534,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/typhlosion,typhlosion,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Typhlosion,Typhlosion,True,73,84,78,119,85,95,534,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/typhlosion-hisui,typhlosion-hisui,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
160,Feraligatr,Feraligatr,True,85,105,100,79,83,78,530,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/feraligatr,feraligatr,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Feraligatr,Mega Feraligatr,True,85,160,125,89,93,78,630,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-feraligatr,mega-feraligatr,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
168,Ariados,Ariados,True,70,90,70,60,70,40,400,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/ariados,ariados,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
181,Ampharos,Ampharos,True,90,75,85,115,90,55,510,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/ampharos,ampharos,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Ampharos,Mega Ampharos,True,90,95,105,165,110,45,610,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-ampharos,mega-ampharos,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
184,Azumarill,Azumarill,True,100,50,80,60,80,50,420,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/azumarill,azumarill,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
186,Politoed,Politoed,True,90,75,75,90,100,70,500,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/politoed,politoed,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
196,Espeon,Espeon,True,65,65,60,130,95,110,525,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/espeon,espeon,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
197,Umbreon,Umbreon,True,95,65,110,60,130,65,525,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/umbreon,umbreon,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
199,Slowking,Slowking,True,95,75,80,100,110,30,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/slowking,slowking,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Galarian Slowking,Galarian Slowking,True,95,65,80,110,110,30,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/slowking-galarian,slowking-galarian,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
205,Forretress,Forretress,True,75,90,140,60,60,40,465,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/forretress,forretress,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
208,Steelix,Steelix,True,75,85,200,55,65,30,510,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/steelix,steelix,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Steelix,Mega Steelix,True,75,125,230,55,95,30,610,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-steelix,mega-steelix,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
211,Qwilfish,Qwilfish,True,65,95,85,55,55,85,440,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/qwilfish,qwilfish,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
212,Scizor,Scizor,True,70,130,100,55,80,65,500,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/scizor,scizor,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Scizor,Mega Scizor,True,70,150,140,65,100,75,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-scizor,mega-scizor,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
214,Heracross,Heracross,True,80,125,75,40,95,85,500,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/heracross,heracross,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Heracross,Mega Heracross,True,80,185,115,40,105,75,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-heracross,mega-heracross,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
227,Skarmory,Skarmory,True,65,80,140,40,70,70,465,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/skarmory,skarmory,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Skarmory,Mega Skarmory,True,65,140,110,40,100,110,565,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-skarmory,mega-skarmory,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
229,Houndoom,Houndoom,True,75,90,50,110,80,95,500,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/houndoom,houndoom,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Houndoom,Mega Houndoom,True,75,90,90,140,90,115,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-houndoom,mega-houndoom,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
248,Tyranitar,Tyranitar,True,100,134,110,95,100,61,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/tyranitar,tyranitar,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Tyranitar,Mega Tyranitar,True,100,164,150,95,120,71,700,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-tyranitar,mega-tyranitar,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
254,Sceptile,Sceptile,True,70,85,65,105,85,120,530,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/sceptile,sceptile,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Sceptile,Mega Sceptile,True,70,110,75,145,85,145,630,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-sceptile,mega-sceptile,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
257,Blaziken,Blaziken,True,80,120,70,110,70,80,530,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/blaziken,blaziken,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
257,Blaziken (Female),Blaziken (Female),True,80,120,70,110,70,80,530,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/blaziken-female,blaziken-female,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Blaziken,Mega Blaziken,True,80,160,80,130,80,100,630,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-blaziken,mega-blaziken,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
260,Swampert,Swampert,True,100,110,90,85,90,60,535,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/swampert,swampert,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Swampert,Mega Swampert,True,100,150,110,95,110,70,635,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-swampert,mega-swampert,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
279,Pelipper,Pelipper,True,60,50,100,95,70,65,440,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/pelipper,pelipper,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
282,Gardevoir,Gardevoir,True,68,65,65,125,115,80,518,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/gardevoir,gardevoir,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Gardevoir,Mega Gardevoir,True,68,85,65,165,135,100,618,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-gardevoir,mega-gardevoir,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
302,Sableye,Sableye,True,50,75,75,65,65,50,380,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/sableye,sableye,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Sableye,Mega Sableye,True,50,85,125,85,115,20,480,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-sableye,mega-sableye,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
303,Mawile,Mawile,True,50,85,85,55,55,50,380,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mawile,mawile,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Mawile,Mega Mawile,True,50,105,125,55,95,50,480,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-mawile,mega-mawile,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
306,Aggron,Aggron,True,70,110,180,60,60,50,530,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/aggron,aggron,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Aggron,Mega Aggron,True,70,140,230,60,80,50,630,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-aggron,mega-aggron,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
308,Medicham,Medicham,True,60,60,75,60,75,80,410,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/medicham,medicham,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Medicham,Mega Medicham,True,60,100,85,80,85,100,510,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-medicham,mega-medicham,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
310,Manectric,Manectric,True,70,75,60,105,60,105,475,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/manectric,manectric,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Manectric,Mega Manectric,True,70,75,80,135,80,135,575,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-manectric,mega-manectric,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
319,Sharpedo,Sharpedo,True,70,120,40,95,40,95,460,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/sharpedo,sharpedo,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Sharpedo,Mega Sharpedo,True,70,140,70,110,65,105,560,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-sharpedo,mega-sharpedo,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
323,Camerupt,Camerupt,True,70,100,70,105,75,40,460,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/camerupt,camerupt,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Camerupt,Mega Camerupt,True,70,120,100,145,105,20,560,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-camerupt,mega-camerupt,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
324,Torkoal,Torkoal,True,70,85,140,85,70,20,470,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/torkoal,torkoal,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
334,Altaria,Altaria,True,75,70,90,70,105,80,490,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/altaria,altaria,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Altaria,Mega Altaria,True,75,110,110,110,105,80,590,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-altaria,mega-altaria,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
350,Milotic,Milotic,True,95,60,79,100,125,81,540,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/milotic,milotic,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
351,Castform,Castform,True,70,70,70,70,70,70,420,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/castform,castform,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
354,Banette,Banette,True,64,115,65,83,63,65,455,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/banette,banette,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Banette,Mega Banette,True,64,165,75,93,83,75,555,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-banette,mega-banette,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
358,Chimecho,Chimecho,True,75,50,80,95,90,65,455,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/chimecho,chimecho,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Chimecho,Mega Chimecho,True,75,50,110,135,120,65,555,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-chimecho,mega-chimecho,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
359,Absol,Absol,True,65,130,60,75,60,75,465,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/absol,absol,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Absol,Mega Absol,True,65,150,60,115,60,115,565,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-absol,mega-absol,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
362,Glalie,Glalie,True,80,80,80,80,80,80,480,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/glalie,glalie,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Glalie,Mega Glalie,True,80,120,80,120,80,100,580,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-glalie,mega-glalie,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
376,Metagross,Metagross,True,80,135,130,95,90,70,600,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/metagross,metagross,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Metagross,Mega Metagross,True,80,145,150,105,110,110,700,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-metagross,mega-metagross,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
389,Torterra,Torterra,True,95,109,105,75,85,56,525,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/torterra,torterra,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
392,Infernape,Infernape,True,76,104,71,104,71,108,534,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/infernape,infernape,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
395,Empoleon,Empoleon,True,84,86,88,111,101,60,530,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/empoleon,empoleon,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
398,Staraptor,Staraptor,True,85,120,70,50,60,100,485,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/staraptor,staraptor,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
