pokemon_stat_champions_key,pokemon_key,pokemon_id,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,is_legal,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
garchomp-champions,garchomp,445,108,130,95,80,85,102,600,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/garchomp,garchomp,2026-07-18 17:06:37.536825+00,0.0.0-dev
hippowdon-champions,hippowdon,450,108,112,118,68,72,47,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/hippowdon,hippowdon,2026-07-18 17:06:37.536825+00,0.0.0-dev
mamoswine-champions,mamoswine,473,110,130,80,70,60,80,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mamoswine,mamoswine,2026-07-18 17:06:37.536825+00,0.0.0-dev
emboar-champions,emboar,500,110,123,65,100,65,65,528,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/emboar,emboar,2026-07-18 17:06:37.536825+00,0.0.0-dev
liepard-champions,liepard,510,64,88,50,88,50,106,446,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/liepard,liepard,2026-07-18 17:06:37.536825+00,0.0.0-dev
simisage-champions,simisage,512,75,98,63,98,63,101,498,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/simisage,simisage,2026-07-18 17:06:37.536825+00,0.0.0-dev
audino-champions,audino,531,103,60,86,60,86,50,445,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/audino,audino,2026-07-18 17:06:37.536825+00,0.0.0-dev
whimsicott-champions,whimsicott,547,60,67,85,77,75,116,480,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/whimsicott,whimsicott,2026-07-18 17:06:37.536825+00,0.0.0-dev
krookodile-champions,krookodile,553,95,117,80,65,70,92,519,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/krookodile,krookodile,2026-07-18 17:06:37.536825+00,0.0.0-dev
chandelure-champions,chandelure,609,60,55,90,145,90,80,520,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/chandelure,chandelure,2026-07-18 17:06:37.536825+00,0.0.0-dev
beartic-champions,beartic,614,95,130,80,70,80,50,505,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/beartic,beartic,2026-07-18 17:06:37.536825+00,0.0.0-dev
stunfisk-champions,stunfisk,618,109,66,84,81,99,32,471,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/stunfisk,stunfisk,2026-07-18 17:06:37.536825+00,0.0.0-dev
delphox-champions,delphox,655,75,69,72,114,100,104,534,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/delphox,delphox,2026-07-18 17:06:37.536825+00,0.0.0-dev
greninja-champions,greninja,658,72,95,67,103,71,122,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/greninja,greninja,2026-07-18 17:06:37.536825+00,0.0.0-dev
pangoro-champions,pangoro,675,95,124,78,69,71,58,495,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/pangoro,pangoro,2026-07-18 17:06:37.536825+00,0.0.0-dev
aegislash-shield-champions,aegislash-shield,681,60,50,140,50,140,60,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/aegislash,aegislash,2026-07-18 17:06:37.536825+00,0.0.0-dev
barbaracle-champions,barbaracle,689,72,105,115,54,86,68,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/barbaracle,barbaracle,2026-07-18 17:06:37.536825+00,0.0.0-dev
aurorus-champions,aurorus,699,123,77,72,99,92,58,521,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/aurorus,aurorus,2026-07-18 17:06:37.536825+00,0.0.0-dev
gourgeist-average-champions,gourgeist-average,711,65,90,122,58,75,84,494,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/gourgeist-average,gourgeist-average,2026-07-18 17:06:37.536825+00,0.0.0-dev
lycanroc-midday-champions,lycanroc-midday,745,75,115,65,55,65,112,487,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/lycanroc,lycanroc,2026-07-18 17:06:37.536825+00,0.0.0-dev
toxapex-champions,toxapex,748,50,63,152,53,142,35,495,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/toxapex,toxapex,2026-07-18 17:06:37.536825+00,0.0.0-dev
tsareena-champions,tsareena,763,72,120,98,50,98,72,510,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/tsareena,tsareena,2026-07-18 17:06:37.536825+00,0.0.0-dev
oranguru-champions,oranguru,765,90,60,80,90,110,60,490,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/oranguru,oranguru,2026-07-18 17:06:37.536825+00,0.0.0-dev
corviknight-champions,corviknight,823,98,87,105,53,85,67,495,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/corviknight,corviknight,2026-07-18 17:06:37.536825+00,0.0.0-dev
flapple-champions,flapple,841,70,110,80,95,60,70,485,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/flapple,flapple,2026-07-18 17:06:37.536825+00,0.0.0-dev
sandaconda-champions,sandaconda,844,72,107,125,65,70,71,510,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/sandaconda,sandaconda,2026-07-18 17:06:37.536825+00,0.0.0-dev
wyrdeer-champions,wyrdeer,899,103,105,72,105,75,65,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/wyrdeer,wyrdeer,2026-07-18 17:06:37.536825+00,0.0.0-dev
sneasler-champions,sneasler,903,80,130,60,40,80,120,510,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/sneasler,sneasler,2026-07-18 17:06:37.536825+00,0.0.0-dev
skeledirge-champions,skeledirge,911,104,75,100,110,75,66,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/skeledirge,skeledirge,2026-07-18 17:06:37.536825+00,0.0.0-dev
garganacl-champions,garganacl,934,100,100,130,45,90,35,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/garganacl,garganacl,2026-07-18 17:06:37.536825+00,0.0.0-dev
scovillain-champions,scovillain,952,65,108,65,108,65,75,486,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/scovillain,scovillain,2026-07-18 17:06:37.536825+00,0.0.0-dev
kingambit-champions,kingambit,983,100,135,120,60,85,50,550,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/kingambit,kingambit,2026-07-18 17:06:37.536825+00,0.0.0-dev
gholdengo-champions,gholdengo,1000,87,60,95,133,91,84,550,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/gholdengo,gholdengo,2026-07-18 17:06:37.536825+00,0.0.0-dev
rotom-heat-champions,rotom-heat,479,50,65,107,105,107,86,520,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/rotom-heat,rotom-heat,2026-07-18 17:06:37.536825+00,0.0.0-dev
rotom-frost-champions,rotom-frost,479,50,65,107,105,107,86,520,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/rotom-frost,rotom-frost,2026-07-18 17:06:37.536825+00,0.0.0-dev
aegislash-blade-champions,aegislash-blade,681,60,140,50,140,50,60,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/aegislash-blade,aegislash-blade,2026-07-18 17:06:37.536825+00,0.0.0-dev
blastoise-mega-champions,blastoise-mega,9,79,103,120,135,115,78,630,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-blastoise,mega-blastoise,2026-07-18 17:06:37.536825+00,0.0.0-dev
kangaskhan-mega-champions,kangaskhan-mega,115,105,125,100,60,100,100,590,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-kangaskhan,mega-kangaskhan,2026-07-18 17:06:37.536825+00,0.0.0-dev
pinsir-mega-champions,pinsir-mega,127,65,155,120,65,90,105,600,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-pinsir,mega-pinsir,2026-07-18 17:06:37.536825+00,0.0.0-dev
heracross-mega-champions,heracross-mega,214,80,185,115,40,105,75,600,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-heracross,mega-heracross,2026-07-18 17:06:37.536825+00,0.0.0-dev
houndoom-mega-champions,houndoom-mega,229,75,90,90,140,90,115,600,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-houndoom,mega-houndoom,2026-07-18 17:06:37.536825+00,0.0.0-dev
tyranitar-mega-champions,tyranitar-mega,248,100,164,150,95,120,71,700,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-tyranitar,mega-tyranitar,2026-07-18 17:06:37.536825+00,0.0.0-dev
blaziken-mega-champions,blaziken-mega,257,80,160,80,130,80,100,630,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-blaziken,mega-blaziken,2026-07-18 17:06:37.536825+00,0.0.0-dev
banette-mega-champions,banette-mega,354,64,165,75,93,83,75,555,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-banette,mega-banette,2026-07-18 17:06:37.536825+00,0.0.0-dev
sceptile-mega-champions,sceptile-mega,254,70,110,75,145,85,145,630,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-sceptile,mega-sceptile,2026-07-18 17:06:37.536825+00,0.0.0-dev
gallade-mega-champions,gallade-mega,475,68,165,95,65,115,110,618,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-gallade,mega-gallade,2026-07-18 17:06:37.536825+00,0.0.0-dev
steelix-mega-champions,steelix-mega,208,75,125,230,55,95,30,610,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-steelix,mega-steelix,2026-07-18 17:06:37.536825+00,0.0.0-dev
pidgeot-mega-champions,pidgeot-mega,18,83,80,80,135,80,121,579,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-pidgeot,mega-pidgeot,2026-07-18 17:06:37.536825+00,0.0.0-dev
camerupt-mega-champions,camerupt-mega,323,70,120,100,145,105,20,560,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-camerupt,mega-camerupt,2026-07-18 17:06:37.536825+00,0.0.0-dev
raichu-alola-champions,raichu-alola,26,60,85,50,95,85,110,485,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/raichu-alolan,raichu-alolan,2026-07-18 17:06:37.536825+00,0.0.0-dev
stunfisk-galar-champions,stunfisk-galar,618,109,81,99,66,84,32,471,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/stunfisk-galarian,stunfisk-galarian,2026-07-18 17:06:37.536825+00,0.0.0-dev
avalugg-hisui-champions,avalugg-hisui,713,95,127,184,34,36,38,514,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/avalugg-hisui,avalugg-hisui,2026-07-18 17:06:37.536825+00,0.0.0-dev
victreebel-mega-champions,victreebel-mega,71,80,125,85,135,95,70,590,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-victreebel,mega-victreebel,2026-07-18 17:06:37.536825+00,0.0.0-dev
chandelure-mega-champions,chandelure-mega,609,60,75,110,175,110,90,620,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-chandelure,mega-chandelure,2026-07-18 17:06:37.536825+00,0.0.0-dev
hawlucha-mega-champions,hawlucha-mega,701,78,137,100,74,93,118,600,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-hawlucha,mega-hawlucha,2026-07-18 17:06:37.536825+00,0.0.0-dev
falinks-mega-champions,falinks-mega,870,65,135,135,70,65,100,570,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-falinks,mega-falinks,2026-07-18 17:06:37.536825+00,0.0.0-dev
chimecho-mega-champions,chimecho-mega,358,75,50,110,135,120,65,555,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-chimecho,mega-chimecho,2026-07-18 17:06:37.536825+00,0.0.0-dev
scovillain-mega-champions,scovillain-mega,952,65,138,85,138,85,75,586,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-scovillain,mega-scovillain,2026-07-18 17:06:37.536825+00,0.0.0-dev
charizard-champions,charizard,6,78,84,78,109,85,100,534,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/charizard,charizard,2026-07-18 17:06:37.536825+00,0.0.0-dev
beedrill-champions,beedrill,15,65,90,40,45,80,75,395,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/beedrill,beedrill,2026-07-18 17:06:37.536825+00,0.0.0-dev
pidgeot-champions,pidgeot,18,83,80,75,70,70,101,479,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/pidgeot,pidgeot,2026-07-18 17:06:37.536825+00,0.0.0-dev
arbok-champions,arbok,24,60,95,69,65,79,80,448,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/arbok,arbok,2026-07-18 17:06:37.536825+00,0.0.0-dev
arcanine-champions,arcanine,59,90,110,80,100,80,95,555,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/arcanine,arcanine,2026-07-18 17:06:37.536825+00,0.0.0-dev
victreebel-champions,victreebel,71,80,105,65,100,70,70,490,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/victreebel,victreebel,2026-07-18 17:06:37.536825+00,0.0.0-dev
vaporeon-champions,vaporeon,134,130,65,60,110,95,65,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/vaporeon,vaporeon,2026-07-18 17:06:37.536825+00,0.0.0-dev
jolteon-champions,jolteon,135,65,65,60,110,95,130,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/jolteon,jolteon,2026-07-18 17:06:37.536825+00,0.0.0-dev
flareon-champions,flareon,136,65,130,60,95,110,65,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/flareon,flareon,2026-07-18 17:06:37.536825+00,0.0.0-dev
feraligatr-champions,feraligatr,160,85,105,100,79,83,78,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/feraligatr,feraligatr,2026-07-18 17:06:37.536825+00,0.0.0-dev
azumarill-champions,azumarill,184,100,50,80,60,80,50,420,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/azumarill,azumarill,2026-07-18 17:06:37.536825+00,0.0.0-dev
politoed-champions,politoed,186,90,75,75,90,100,70,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/politoed,politoed,2026-07-18 17:06:37.536825+00,0.0.0-dev
forretress-champions,forretress,205,75,90,140,60,60,40,465,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/forretress,forretress,2026-07-18 17:06:37.536825+00,0.0.0-dev
qwilfish-champions,qwilfish,211,65,95,85,55,55,85,440,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/qwilfish,qwilfish,2026-07-18 17:06:37.536825+00,0.0.0-dev
blaziken-champions,blaziken,257,80,120,70,110,70,80,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/blaziken,blaziken,2026-07-18 17:06:37.536825+00,0.0.0-dev
swampert-champions,swampert,260,100,110,90,85,90,60,535,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/swampert,swampert,2026-07-18 17:06:37.536825+00,0.0.0-dev
manectric-champions,manectric,310,70,75,60,105,60,105,475,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/manectric,manectric,2026-07-18 17:06:37.536825+00,0.0.0-dev
sharpedo-champions,sharpedo,319,70,120,40,95,40,95,460,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/sharpedo,sharpedo,2026-07-18 17:06:37.536825+00,0.0.0-dev
infernape-champions,infernape,392,76,104,71,104,71,108,534,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/infernape,infernape,2026-07-18 17:06:37.536825+00,0.0.0-dev
empoleon-champions,empoleon,395,84,86,88,111,101,60,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/empoleon,empoleon,2026-07-18 17:06:37.536825+00,0.0.0-dev
weavile-champions,weavile,461,70,120,65,45,85,125,510,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/weavile,weavile,2026-07-18 17:06:37.536825+00,0.0.0-dev
leafeon-champions,leafeon,470,65,110,130,60,65,95,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/leafeon,leafeon,2026-07-18 17:06:37.536825+00,0.0.0-dev
rotom-champions,rotom,479,50,50,77,95,77,91,440,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/rotom,rotom,2026-07-18 17:06:37.536825+00,0.0.0-dev
samurott-champions,samurott,503,95,100,85,108,70,70,528,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/samurott,samurott,2026-07-18 17:06:37.536825+00,0.0.0-dev
musharna-champions,musharna,518,116,55,85,107,95,29,487,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/musharna,musharna,2026-07-18 17:06:37.536825+00,0.0.0-dev
excadrill-champions,excadrill,530,110,135,60,50,65,88,508,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/excadrill,excadrill,2026-07-18 17:06:37.536825+00,0.0.0-dev
conkeldurr-champions,conkeldurr,534,105,140,95,55,65,45,505,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/conkeldurr,conkeldurr,2026-07-18 17:06:37.536825+00,0.0.0-dev
cofagrigus-champions,cofagrigus,563,58,50,145,95,105,30,483,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/cofagrigus,cofagrigus,2026-07-18 17:06:37.536825+00,0.0.0-dev
zoroark-champions,zoroark,571,60,105,60,120,60,105,510,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/zoroark,zoroark,2026-07-18 17:06:37.536825+00,0.0.0-dev
reuniclus-champions,reuniclus,579,110,65,75,125,85,30,490,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/reuniclus,reuniclus,2026-07-18 17:06:37.536825+00,0.0.0-dev
diggersby-champions,diggersby,660,85,56,77,50,77,78,423,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/diggersby,diggersby,2026-07-18 17:06:37.536825+00,0.0.0-dev
vivillon-champions,vivillon,666,80,52,50,90,50,89,411,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/vivillon,vivillon,2026-07-18 17:06:37.536825+00,0.0.0-dev
pyroar-male-champions,pyroar-male,668,86,68,72,109,66,106,507,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/pyroar,pyroar,2026-07-18 17:06:37.536825+00,0.0.0-dev
meowstic-male-champions,meowstic-male,678,74,48,76,83,81,104,466,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/meowstic-male,meowstic-male,2026-07-18 17:06:37.536825+00,0.0.0-dev
malamar-champions,malamar,687,86,92,88,68,75,73,482,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/malamar,malamar,2026-07-18 17:06:37.536825+00,0.0.0-dev
clawitzer-champions,clawitzer,693,71,73,88,120,89,59,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/clawitzer,clawitzer,2026-07-18 17:06:37.536825+00,0.0.0-dev
heliolisk-champions,heliolisk,695,62,55,52,109,94,109,481,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/heliolisk,heliolisk,2026-07-18 17:06:37.536825+00,0.0.0-dev
sylveon-champions,sylveon,700,95,65,65,110,130,60,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/sylveon,sylveon,2026-07-18 17:06:37.536825+00,0.0.0-dev
hawlucha-champions,hawlucha,701,78,92,75,74,63,118,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/hawlucha,hawlucha,2026-07-18 17:06:37.536825+00,0.0.0-dev
goodra-champions,goodra,706,90,100,70,110,150,80,600,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/goodra,goodra,2026-07-18 17:06:37.536825+00,0.0.0-dev
klefki-champions,klefki,707,57,80,91,80,87,75,470,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/klefki,klefki,2026-07-18 17:06:37.536825+00,0.0.0-dev
trevenant-champions,trevenant,709,85,110,76,65,82,56,474,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/trevenant,trevenant,2026-07-18 17:06:37.536825+00,0.0.0-dev
avalugg-champions,avalugg,713,95,117,184,44,46,28,514,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/avalugg,avalugg,2026-07-18 17:06:37.536825+00,0.0.0-dev
decidueye-champions,decidueye,724,78,107,75,100,100,70,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/decidueye,decidueye,2026-07-18 17:06:37.536825+00,0.0.0-dev
mudsdale-champions,mudsdale,750,100,125,100,55,85,35,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mudsdale,mudsdale,2026-07-18 17:06:37.536825+00,0.0.0-dev
passimian-champions,passimian,766,100,120,90,40,60,80,490,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/passimian,passimian,2026-07-18 17:06:37.536825+00,0.0.0-dev
runerigus-champions,runerigus,867,58,95,145,50,105,30,483,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/runerigus,runerigus,2026-07-18 17:06:37.536825+00,0.0.0-dev
kleavor-champions,kleavor,900,70,135,95,45,70,85,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/kleavor,kleavor,2026-07-18 17:06:37.536825+00,0.0.0-dev
quaquaval-champions,quaquaval,914,85,120,80,85,75,85,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/quaquaval,quaquaval,2026-07-18 17:06:37.536825+00,0.0.0-dev
ceruledge-champions,ceruledge,937,75,125,80,60,100,85,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/ceruledge,ceruledge,2026-07-18 17:06:37.536825+00,0.0.0-dev
espathra-champions,espathra,956,95,60,60,101,60,105,481,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/espathra,espathra,2026-07-18 17:06:37.536825+00,0.0.0-dev
palafin-zero-champions,palafin-zero,964,100,70,72,53,62,100,457,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/palafin,palafin,2026-07-18 17:06:37.536825+00,0.0.0-dev
houndstone-champions,houndstone,972,72,101,100,50,97,68,488,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/houndstone,houndstone,2026-07-18 17:06:37.536825+00,0.0.0-dev
meowstic-female-champions,meowstic-female,678,74,48,76,83,81,104,466,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/meowstic-female,meowstic-female,2026-07-18 17:06:37.536825+00,0.0.0-dev
gourgeist-small-champions,gourgeist-small,711,55,85,122,58,75,99,494,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/gourgeist-small,gourgeist-small,2026-07-18 17:06:37.536825+00,0.0.0-dev
gourgeist-large-champions,gourgeist-large,711,75,95,122,58,75,69,494,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/gourgeist-large,gourgeist-large,2026-07-18 17:06:37.536825+00,0.0.0-dev
