event_id,event_name,event_date,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
LA0226md2zDgZtmvexIY,2026 Latin America Pokémon VGC International Championships,2025-11-21,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/LA0226md2zDgZtmvexIY/players.json,LA0226md2zDgZtmvexIY,2026-07-18 17:06:38.505628+00,0.0.0-dev
SY02sMDp6JmCcnCynSLn,2026 Sydney Pokémon VGC Regional Championships,2026-02-07,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/SY02sMDp6JmCcnCynSLn/players.json,SY02sMDp6JmCcnCynSLn,2026-07-18 17:06:38.505628+00,0.0.0-dev
OR02wF0GhaiorROTkFlu,2026 Orlando Pokémon VGC Regional Championships,2026-04-03,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/OR02wF0GhaiorROTkFlu/players.json,OR02wF0GhaiorROTkFlu,2026-07-18 17:06:38.505628+00,0.0.0-dev
LV02kSgge3zYTKAwlomv,2026 Las Vegas Pokémon VGC Regional Championships,2025-11-14,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/LV02kSgge3zYTKAwlomv/players.json,LV02kSgge3zYTKAwlomv,2026-07-18 17:06:38.505628+00,0.0.0-dev
CU02wOcwtjVNH6QdhfNE,2026 Curitiba Pokémon VGC Regional Championships,2026-03-14,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/CU02wOcwtjVNH6QdhfNE/players.json,CU02wOcwtjVNH6QdhfNE,2026-07-18 17:06:38.505628+00,0.0.0-dev
IN02wbUMQOt2eNv12cgC,2026 Indianapolis Pokémon VGC Regional Championships,2026-05-31,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/IN02wbUMQOt2eNv12cgC/players.json,IN02wbUMQOt2eNv12cgC,2026-07-18 17:06:38.505628+00,0.0.0-dev
MK02mx9kmM49UZ5g4JxH,2026 Milwaukee Pokémon VGC Regional Championships,2025-10-10,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/MK02mx9kmM49UZ5g4JxH/players.json,MK02mx9kmM49UZ5g4JxH,2026-07-18 17:06:38.505628+00,0.0.0-dev
SG02gVKM38QMVGTcAiZN,2026 Stuttgart Pokémon VGC Regional Championships,2025-11-29,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/SG02gVKM38QMVGTcAiZN/players.json,SG02gVKM38QMVGTcAiZN,2026-07-18 17:06:38.505628+00,0.0.0-dev
PT02mMVCgJGPQcHccDoy,2026 Pittsburgh Pokémon VGC Regional Championships,2025-09-19,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/PT02mMVCgJGPQcHccDoy/players.json,PT02mMVCgJGPQcHccDoy,2026-07-18 17:06:38.505628+00,0.0.0-dev
NA02wgUPFDXKmQmqILwS,2026 North America Pokémon VGC International Championships,2026-06-12,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/NA02wgUPFDXKmQmqILwS/players.json,NA02wgUPFDXKmQmqILwS,2026-07-18 17:06:38.505628+00,0.0.0-dev
LL02aDtPZHuHLDewaIqy,2026 Lille Pokémon VGC Regional Championships,2025-10-25,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/LL02aDtPZHuHLDewaIqy/players.json,LL02aDtPZHuHLDewaIqy,2026-07-18 17:06:38.505628+00,0.0.0-dev
CA02wLAJ2mRyQI5kryVw,2026 Campinas Pokémon VGC Regional Championships,2026-05-16,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/CA02wLAJ2mRyQI5kryVw/players.json,CA02wLAJ2mRyQI5kryVw,2026-07-18 17:06:38.505628+00,0.0.0-dev
BH02mBOy0UgfISzHnNdU,2026 Birmingham Pokémon VGC Regional Championships,2026-01-24,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/BH02mBOy0UgfISzHnNdU/players.json,BH02mBOy0UgfISzHnNdU,2026-07-18 17:06:38.505628+00,0.0.0-dev
SV02wtoHf5SDBUM0ntB2,2026 Seville Pokémon VGC Special Championships,2026-03-28,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/SV02wtoHf5SDBUM0ntB2/players.json,SV02wtoHf5SDBUM0ntB2,2026-07-18 17:06:38.505628+00,0.0.0-dev
TO027Rvi7XmbN1f355Nc,2026 Toronto Pokémon VGC Regional Championships,2026-01-16,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/TO027Rvi7XmbN1f355Nc/players.json,TO027Rvi7XmbN1f355Nc,2026-07-18 17:06:38.505628+00,0.0.0-dev
GD02yFCaTDuKwnIR9IKd,2026 Gdańsk Pokémon VGC Regional Championships,2025-11-01,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/GD02yFCaTDuKwnIR9IKd/players.json,GD02yFCaTDuKwnIR9IKd,2026-07-18 17:06:38.505628+00,0.0.0-dev
QT02wgHCgGOEh4NP4jLE,2026 Querétaro Pokémon VGC Regional Championships,2026-04-04,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/QT02wgHCgGOEh4NP4jLE/players.json,QT02wgHCgGOEh4NP4jLE,2026-07-18 17:06:38.505628+00,0.0.0-dev
MT02mEWqwYNpTSVPcblx,2026 Monterrey Pokémon VGC Regional Championships,2025-09-13,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/MT02mEWqwYNpTSVPcblx/players.json,MT02mEWqwYNpTSVPcblx,2026-07-18 17:06:38.505628+00,0.0.0-dev
ST02KJ5wqNl34q3KGE8N,2026 Santiago Pokémon VGC Regional Championships,2026-02-07,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/ST02KJ5wqNl34q3KGE8N/players.json,ST02KJ5wqNl34q3KGE8N,2026-07-18 17:06:38.505628+00,0.0.0-dev
PR02wayEt6qQBnpFi6cp,2026 Prague Pokémon VGC Regional Championships,2026-04-25,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/PR02wayEt6qQBnpFi6cp/players.json,PR02wayEt6qQBnpFi6cp,2026-07-18 17:06:38.505628+00,0.0.0-dev
BE02wX9mUPbgJsSba2pR,2026 Belo Horizonte Pokémon VGC Regional Championships,2025-10-11,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/BE02wX9mUPbgJsSba2pR/players.json,BE02wX9mUPbgJsSba2pR,2026-07-18 17:06:38.505628+00,0.0.0-dev
